資料編 付表2　n=16 の層で ちょうど .x5 となるセルの丸め
凡例[P89]『割合は小数第2位を四捨五入』に対し、偶数丸め（round-half-to-even）で処理されている。

付表         層              選択肢                                      件数/n     掲載      四捨五入    
○ 付表2-29   年齢階級/75～79歳   パートタイムで働いている                             3/16     18.8%    18.8%
× 付表2-29   年齢階級/75～79歳   働いていない                                   5/16     31.2%    31.3%
○ 付表2-30   年齢階級/75～79歳   特に行っていない                                 3/16     18.8%    18.8%
× 付表2-30   年齢階級/75～79歳   介護のために、「労働時間を調整（残業免除、短時間勤務、遅出・早帰・中抜け等）   1/16      6.2%     6.3%
× 付表2-30   年齢階級/75～79歳   介護のために、「在宅勤務」を利用しながら、働いている               1/16      6.2%     6.3%
× 付表2-30   年齢階級/75～79歳   介護のために、２～４以外の調整をしながら、働いている               1/16      6.2%     6.3%
× 付表2-31   年齢階級/75～79歳   問題なく、続けていける                              1/16      6.2%     6.3%
× 付表2-31   年齢階級/75～79歳   続けていくのは、やや難しい                            1/16      6.2%     6.3%
× 付表2-31   年齢階級/75～79歳   続けていくのは、かなり難しい                           1/16      6.2%     6.3%

ちょうど .x5 のセル 60件／切上げ（四捨五入と一致）23件／切捨て（不一致）37件
