年度,交付金,目標,目標名,指標群,指標,列番号,配点,北塩原村,全国平均,全国中央値,標準偏差,該当市町村数,該当率
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,目標Ⅰｰ（ⅰ）体制・取組指標群,3 / 施策の実施状況の把握・改善 / ア / ③,23,1.0,0.0,0.9144170017231477,,0.2797472943261412,1592.0,0.9144170017231477
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,目標Ⅰｰ（ⅰ）体制・取組指標群,3 / 施策の実施状況の把握・改善 / ア / ④,24,1.0,0.0,0.842619184376795,,0.3641594355457233,1467.0,0.842619184376795
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,目標Ⅰｰ（ⅰ）体制・取組指標群,3 / 施策の実施状況の把握・改善 / イ / ①,25,1.0,0.0,0.7409534750143596,,0.438111199216026,1290.0,0.7409534750143596
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,目標Ⅰｰ（ⅰ）体制・取組指標群,3 / 施策の実施状況の把握・改善 / イ / ②,26,1.0,0.0,0.8403216542217117,,0.36630748240760486,1463.0,0.8403216542217117
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,目標Ⅰｰ（ⅰ）体制・取組指標群,3 / 施策の実施状況の把握・改善 / イ / ③,27,1.0,0.0,0.8064330844342332,,0.3950933620856241,1404.0,0.8064330844342332
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,目標Ⅰｰ（ⅰ）体制・取組指標群,3 / 施策の実施状況の把握・改善 / イ / ④,28,1.0,0.0,0.7024698449167145,,0.45717169848909234,1223.0,0.7024698449167145
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,目標Ⅰｰ（ⅰ）体制・取組指標群,3 / 施策の実施状況の把握・改善 / ウ / ①,29,1.0,0.0,0.6886846639862149,,0.4630314218024617,1199.0,0.6886846639862149
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,目標Ⅰｰ（ⅰ）体制・取組指標群,3 / 施策の実施状況の把握・改善 / ウ / ②,30,1.0,0.0,0.7897759908098794,,0.40746763693593224,1375.0,0.7897759908098794
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,目標Ⅰｰ（ⅰ）体制・取組指標群,3 / 施策の実施状況の把握・改善 / ウ / ③,31,1.0,0.0,0.7610568638713383,,0.4264379366633104,1325.0,0.7610568638713383
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,目標Ⅰｰ（ⅰ）体制・取組指標群,3 / 施策の実施状況の把握・改善 / ウ / ④,32,1.0,0.0,0.6726019529006318,,0.46926385526150216,1171.0,0.6726019529006318
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,目標Ⅰｰ（ⅰ）体制・取組指標群,3 / 施策の実施状況の把握・改善 / エ / ①,33,1.0,0.0,0.5588742102240092,,0.49652172900135916,973.0,0.5588742102240092
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,目標Ⅰｰ（ⅰ）体制・取組指標群,3 / 施策の実施状況の把握・改善 / エ / ②,34,1.0,0.0,0.6255025847214245,,0.4839928731171996,1089.0,0.6255025847214245
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,目標Ⅰｰ（ⅰ）体制・取組指標群,3 / 施策の実施状況の把握・改善 / エ / ③,35,1.0,0.0,0.6145893164847789,,0.4866921907608044,1070.0,0.6145893164847789
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,目標Ⅰｰ（ⅰ）体制・取組指標群,3 / 施策の実施状況の把握・改善 / エ / ④,36,1.0,0.0,0.5588742102240092,,0.49652172900135916,973.0,0.5588742102240092
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,目標Ⅰｰ（ⅰ）体制・取組指標群,4 / 評価結果の活用 / ア,37,4.0,0.0,2.784606547960942,,1.8396718633758613,1212.0,0.6961516369902355
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,目標Ⅰｰ（ⅰ）体制・取組指標群,4 / 評価結果の活用 / イ,38,4.0,0.0,1.932222860425043,,1.9988512349224583,841.0,0.4830557151062608
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,目標Ⅰｰ（ⅰ）体制・取組指標群,4 / 評価結果の活用 / ウ,39,4.0,0.0,2.1573808156232053,,1.993798204150504,939.0,0.5393452039058013
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,目標Ⅰｰ（ⅰ）体制・取組指標群,4 / 評価結果の活用 / エ,40,4.0,0.0,1.263641585295807,,1.8595096894327623,550.0,0.31591039632395174
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,目標Ⅰｰ（ⅱ）活動指標群,1 / 今年度の評価点 / ア,41,3.0,0.0,2.1022400919012063,,1.3737928780230397,1220.0,0.7007466973004021
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,目標Ⅰｰ（ⅱ）活動指標群,1 / 今年度の評価点 / イ,42,3.0,0.0,1.4991384261918437,,1.499999752563504,870.0,0.4997128087306146
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,目標Ⅰｰ（ⅱ）活動指標群,1 / 今年度の評価点 / ウ,43,3.0,0.0,0.909821941412981,,1.3790177153185732,528.0,0.3032739804709937
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,目標Ⅰｰ（ⅱ）活動指標群,1 / 今年度の評価点 / エ,44,3.0,0.0,0.3032739804709937,,0.9043488454032881,176.0,0.10109132682366456
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,目標Ⅰｰ（ⅱ）活動指標群,2 / 後期高齢者と給付費の伸び率比較 / ア,45,3.0,3.0,2.0987937966685815,,1.3752985090776568,1218.0,0.6995979322228604
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,目標Ⅰｰ（ⅱ）活動指標群,2 / 後期高齢者と給付費の伸び率比較 / イ,46,3.0,3.0,1.4991384261918437,,1.499999752563504,870.0,0.4997128087306146
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,目標Ⅰｰ（ⅱ）活動指標群,2 / 後期高齢者と給付費の伸び率比較 / ウ,47,3.0,3.0,0.8960367604824814,,1.3730361995634,520.0,0.2986789201608271
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,目標Ⅰｰ（ⅱ）活動指標群,2 / 後期高齢者と給付費の伸び率比較 / エ,48,3.0,0.0,0.2981045376220563,,0.8974671567892102,173.0,0.0993681792073521
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,目標Ⅰｰ（ⅱ）活動指標群,3 / PFS委託事業数 / ア,49,3.0,0.0,0.11200459506031017,,0.5687431369839169,65.0,0.037334865020103386
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,目標Ⅰｰ（ⅱ）活動指標群,3 / PFS委託事業数 / イ,50,3.0,0.0,0.05858701895462378,,0.4151248222810603,34.0,0.019529006318207927
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,目標Ⅰｰ（ⅱ）活動指標群,3 / PFS委託事業数 / ウ,51,3.0,0.0,0.03963239517518667,,0.34252950059555143,23.0,0.013210798391728892
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,目標Ⅰｰ（ⅱ）活動指標群,3 / PFS委託事業数 / エ,52,3.0,0.0,0.010338885697874785,,0.17581173037129982,6.0,0.0034462952326249283
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,,Ⅰ（ⅰ） 計,53,64.0,8.0,46.34520390580126,48.0,14.686490771223788,,
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,,Ⅰ（ⅱ） 計,54,36.0,9.0,9.827110855829982,9.0,6.280215205358829,,
令和6年度,推進交付金,目標Ⅰ,持続可能な地域のあるべき姿をかたちにする,,Ⅰ 合計,55,100.0,17.0,56.17231476163125,58.0,18.553774951375836,,
令和6年度,推進交付金,目標Ⅱ,公正・公平な給付を行う体制を構築する,目標Ⅱｰ（ⅰ）体制・取組指標群,1 / 給付費適正化方策の策定状況 / ア,56,8.0,8.0,6.368753589890868,,3.223198168028011,1386.0,0.7960941987363584
令和6年度,推進交付金,目標Ⅱ,公正・公平な給付を行う体制を構築する,目標Ⅱｰ（ⅰ）体制・取組指標群,1 / 給付費適正化方策の策定状況 / イ,57,8.0,8.0,5.739230327398047,,3.6020935396320404,1249.0,0.7174037909247559
令和6年度,推進交付金,目標Ⅱ,公正・公平な給付を行う体制を構築する,目標Ⅱｰ（ⅰ）体制・取組指標群,1 / 給付費適正化方策の策定状況 / ウ,58,8.0,0.0,4.98564043653073,,3.87666260201678,1085.0,0.6232050545663412
令和6年度,推進交付金,目標Ⅱ,公正・公平な給付を行う体制を構築する,目標Ⅱｰ（ⅰ）体制・取組指標群,1 / 給付費適正化方策の策定状況 / エ,59,8.0,0.0,3.8690407811602525,,3.9978556355877686,842.0,0.48363009764503156
令和6年度,推進交付金,目標Ⅱ,公正・公平な給付を行う体制を構築する,目標Ⅱｰ（ⅰ）体制・取組指標群,2 / 給付費適正化事業の取組状況 / ア / ①,60,2.0,2.0,1.9942561746122918,,0.10702644180449733,1736.0,0.9971280873061459
令和6年度,推進交付金,目標Ⅱ,公正・公平な給付を行う体制を構築する,目標Ⅱｰ（ⅰ）体制・取組指標群,2 / 給付費適正化事業の取組状況 / ア / ②,61,2.0,2.0,1.9103963239517519,,0.4137372757380423,1663.0,0.9551981619758759
令和6年度,推進交付金,目標Ⅱ,公正・公平な給付を行う体制を構築する,目標Ⅱｰ（ⅰ）体制・取組指標群,2 / 給付費適正化事業の取組状況 / ア / ③,62,2.0,2.0,1.5255600229753015,,0.8507565234837758,1328.0,0.7627800114876507
令和6年度,推進交付金,目標Ⅱ,公正・公平な給付を行う体制を構築する,目標Ⅱｰ（ⅰ）体制・取組指標群,2 / 給付費適正化事業の取組状況 / イ / ①,63,2.0,0.0,1.874784606547961,,0.4845120144503428,1632.0,0.9373923032739805
令和6年度,推進交付金,目標Ⅱ,公正・公平な給付を行う体制を構築する,目標Ⅱｰ（ⅰ）体制・取組指標群,2 / 給付費適正化事業の取組状況 / イ / ②,64,2.0,0.0,1.8242389431361286,,0.5662421430958999,1588.0,0.9121194715680643
令和6年度,推進交付金,目標Ⅱ,公正・公平な給付を行う体制を構築する,目標Ⅱｰ（ⅰ）体制・取組指標群,2 / 給付費適正化事業の取組状況 / イ / ③,65,2.0,0.0,1.6921309592188398,,0.7217719413296757,1473.0,0.8460654796094199
令和6年度,推進交付金,目標Ⅱ,公正・公平な給付を行う体制を構築する,目標Ⅱｰ（ⅰ）体制・取組指標群,2 / 給付費適正化事業の取組状況 / ウ,66,8.0,0.0,3.726593911545089,,3.9906451998136574,811.0,0.4658242389431361
令和6年度,推進交付金,目標Ⅱ,公正・公平な給付を行う体制を構築する,目標Ⅱｰ（ⅰ）体制・取組指標群,2 / 給付費適正化事業の取組状況 / エ,67,8.0,0.0,2.7156806433084433,,3.788208519871548,591.0,0.3394600804135554
令和6年度,推進交付金,目標Ⅱ,公正・公平な給付を行う体制を構築する,目標Ⅱｰ（ⅰ）体制・取組指標群,2 / 給付費適正化事業の取組状況 / オ,68,8.0,8.0,4.130959218839747,,3.9978556355877686,899.0,0.5163699023549684
令和6年度,推進交付金,目標Ⅱ,公正・公平な給付を行う体制を構築する,目標Ⅱｰ（ⅱ）活動指標群,1 / ケアプラン点検の実施状況 / ア,69,4.0,0.0,2.7983917288914415,,1.8337313454368758,1218.0,0.6995979322228604
令和6年度,推進交付金,目標Ⅱ,公正・公平な給付を行う体制を構築する,目標Ⅱｰ（ⅱ）活動指標群,1 / ケアプラン点検の実施状況 / イ,70,4.0,0.0,1.9988512349224583,,1.9999996700846718,870.0,0.4997128087306146
令和6年度,推進交付金,目標Ⅱ,公正・公平な給付を行う体制を構築する,目標Ⅱｰ（ⅱ）活動指標群,1 / ケアプラン点検の実施状況 / ウ,71,4.0,0.0,1.1993107409534751,,1.8327293063754742,522.0,0.2998276852383688
令和6年度,推進交付金,目標Ⅱ,公正・公平な給付を行う体制を構築する,目標Ⅱｰ（ⅱ）活動指標群,1 / ケアプラン点検の実施状況 / エ,72,4.0,0.0,0.39977024698449165,,1.1996936015349606,174.0,0.09994256174612291
令和6年度,推進交付金,目標Ⅱ,公正・公平な給付を行う体制を構築する,目標Ⅱｰ（ⅱ）活動指標群,2 / 医療情報との突合の実施状況 / ア,73,4.0,0.0,2.7983917288914415,,1.8337313454368758,1218.0,0.6995979322228604
令和6年度,推進交付金,目標Ⅱ,公正・公平な給付を行う体制を構築する,目標Ⅱｰ（ⅱ）活動指標群,2 / 医療情報との突合の実施状況 / イ,74,4.0,0.0,2.7547386559448594,,1.8521256872098468,1199.0,0.6886846639862149
令和6年度,推進交付金,目標Ⅱ,公正・公平な給付を行う体制を構築する,目標Ⅱｰ（ⅱ）活動指標群,2 / 医療情報との突合の実施状況 / ウ,75,4.0,0.0,2.7547386559448594,,1.8521256872098468,1199.0,0.6886846639862149
令和6年度,推進交付金,目標Ⅱ,公正・公平な給付を行う体制を構築する,目標Ⅱｰ（ⅱ）活動指標群,2 / 医療情報との突合の実施状況 / エ,76,4.0,0.0,2.7547386559448594,,1.8521256872098468,1199.0,0.6886846639862149
令和6年度,推進交付金,目標Ⅱ,公正・公平な給付を行う体制を構築する,,Ⅱ（ⅰ） 計,77,68.0,30.0,42.35726593911545,44.0,17.89634107537621,,
令和6年度,推進交付金,目標Ⅱ,公正・公平な給付を行う体制を構築する,,Ⅱ（ⅱ） 計,78,32.0,0.0,17.458931648477886,16.0,9.55068445640381,,
令和6年度,推進交付金,目標Ⅱ,公正・公平な給付を行う体制を構築する,,Ⅱ 合計,79,100.0,30.0,59.81619758759334,60.0,21.580156381973612,,
令和6年度,推進交付金,目標Ⅲ,介護人材の確保その他のサービス提供基盤の整備を推進する,目標Ⅲｰ（ⅰ）体制・取組指標群,1 / 介護人材の確保・定着の取組状況 / ア,80,6.0,6.0,4.266513497989661,,2.7195484109333288,1238.0,0.7110855829982768
令和6年度,推進交付金,目標Ⅲ,介護人材の確保その他のサービス提供基盤の整備を推進する,目標Ⅲｰ（ⅰ）体制・取組指標群,1 / 介護人材の確保・定着の取組状況 / イ,81,6.0,6.0,3.4738655944859276,,2.9623388392218906,1008.0,0.5789775990809879
令和6年度,推進交付金,目標Ⅲ,介護人材の確保その他のサービス提供基盤の整備を推進する,目標Ⅲｰ（ⅰ）体制・取組指標群,1 / 介護人材の確保・定着の取組状況 / ウ,82,6.0,0.0,3.6771970132107983,,2.922568083945757,1067.0,0.6128661688684663
令和6年度,推進交付金,目標Ⅲ,介護人材の確保その他のサービス提供基盤の整備を推進する,目標Ⅲｰ（ⅰ）体制・取組指標群,1 / 介護人材の確保・定着の取組状況 / エ,83,6.0,0.0,2.4744399770246983,,2.953605705277907,718.0,0.41240666283744976
令和6年度,推進交付金,目標Ⅲ,介護人材の確保その他のサービス提供基盤の整備を推進する,目標Ⅲｰ（ⅰ）体制・取組指標群,1 / 介護人材の確保・定着の取組状況 / オ,84,6.0,0.0,1.0304422745548536,,2.2629278305194225,299.0,0.17174037909247558
令和6年度,推進交付金,目標Ⅲ,介護人材の確保その他のサービス提供基盤の整備を推進する,目標Ⅲｰ（ⅰ）体制・取組指標群,2 / 庁内・庁外における連携体制 / ア,85,6.0,0.0,4.3836875358989085,,2.6618431214100515,1272.0,0.7306145893164848
令和6年度,推進交付金,目標Ⅲ,介護人材の確保その他のサービス提供基盤の整備を推進する,目標Ⅲｰ（ⅰ）体制・取組指標群,2 / 庁内・庁外における連携体制 / イ,86,6.0,0.0,4.759333716255026,,2.4299680810348683,1381.0,0.7932222860425043
令和6年度,推進交付金,目標Ⅲ,介護人材の確保その他のサービス提供基盤の整備を推進する,目標Ⅲｰ（ⅰ）体制・取組指標群,2 / 庁内・庁外における連携体制 / ウ / ①,87,2.0,0.0,1.2234348075818495,,0.9747188757589862,1065.0,0.6117174037909248
令和6年度,推進交付金,目標Ⅲ,介護人材の確保その他のサービス提供基盤の整備を推進する,目標Ⅲｰ（ⅰ）体制・取組指標群,2 / 庁内・庁外における連携体制 / ウ / ②,88,2.0,0.0,1.3130384836300977,,0.9497404423138824,1143.0,0.6565192418150488
令和6年度,推進交付金,目標Ⅲ,介護人材の確保その他のサービス提供基盤の整備を推進する,目標Ⅲｰ（ⅰ）体制・取組指標群,2 / 庁内・庁外における連携体制 / ウ / ③,89,2.0,0.0,1.3417576105686386,,0.9397881333675238,1168.0,0.6708788052843193
令和6年度,推進交付金,目標Ⅲ,介護人材の確保その他のサービス提供基盤の整備を推進する,目標Ⅲｰ（ⅰ）体制・取組指標群,2 / 庁内・庁外における連携体制 / ウ / ④,90,2.0,0.0,1.3658816771970133,,0.9306613768130171,1189.0,0.6829408385985066
令和6年度,推進交付金,目標Ⅲ,介護人材の確保その他のサービス提供基盤の整備を推進する,目標Ⅲｰ（ⅰ）体制・取組指標群,2 / 庁内・庁外における連携体制 / ウ / ⑤,91,2.0,0.0,0.925904652498564,,0.997251161683275,806.0,0.462952326249282
令和6年度,推進交付金,目標Ⅲ,介護人材の確保その他のサービス提供基盤の整備を推進する,目標Ⅲｰ（ⅰ）体制・取組指標群,2 / 庁内・庁外における連携体制 / エ,92,6.0,0.0,1.8161975875933372,,2.7565579711626174,527.0,0.30269959793222284
令和6年度,推進交付金,目標Ⅲ,介護人材の確保その他のサービス提供基盤の整備を推進する,目標Ⅲｰ（ⅰ）体制・取組指標群,2 / 庁内・庁外における連携体制 / オ,93,6.0,0.0,1.781734635267088,,2.7415013224677067,517.0,0.29695577254451466
令和6年度,推進交付金,目標Ⅲ,介護人材の確保その他のサービス提供基盤の整備を推進する,目標Ⅲｰ（ⅱ）活動指標群,1 / 介護の仕事の魅力に関する研修の実施状況 / ア,94,3.0,0.0,0.8460654796094199,,1.349951718781654,491.0,0.2820218265364733
令和6年度,推進交付金,目標Ⅲ,介護人材の確保その他のサービス提供基盤の整備を推進する,目標Ⅲｰ（ⅱ）活動指標群,1 / 介護の仕事の魅力に関する研修の実施状況 / イ,95,3.0,0.0,0.4221711659965537,,1.0432089937259799,245.0,0.14072372199885125
令和6年度,推進交付金,目標Ⅲ,介護人材の確保その他のサービス提供基盤の整備を推進する,目標Ⅲｰ（ⅱ）活動指標群,1 / 介護の仕事の魅力に関する研修の実施状況 / ウ,96,3.0,0.0,0.2533026995979322,,0.8341138058863409,147.0,0.08443423319931075
令和6年度,推進交付金,目標Ⅲ,介護人材の確保その他のサービス提供基盤の整備を推進する,目標Ⅲｰ（ⅱ）活動指標群,1 / 介護の仕事の魅力に関する研修の実施状況 / エ,97,3.0,0.0,0.08443423319931075,,0.4961588050835908,49.0,0.028144744399770247
令和6年度,推進交付金,目標Ⅲ,介護人材の確保その他のサービス提供基盤の整備を推進する,目標Ⅲｰ（ⅱ）活動指標群,2 / 介護人材の定着・資質向上に関する研修の実施状況 / ア,98,3.0,0.0,0.9735784032165422,,1.40459257524734,565.0,0.3245261344055141
令和6年度,推進交付金,目標Ⅲ,介護人材の確保その他のサービス提供基盤の整備を推進する,目標Ⅲｰ（ⅱ）活動指標群,2 / 介護人材の定着・資質向上に関する研修の実施状況 / イ,99,3.0,0.0,0.4859276278001149,,1.1052860371600184,282.0,0.16197587593337162
令和6年度,推進交付金,目標Ⅲ,介護人材の確保その他のサービス提供基盤の整備を推進する,目標Ⅲｰ（ⅱ）活動指標群,2 / 介護人材の定着・資質向上に関する研修の実施状況 / ウ,100,3.0,0.0,0.2912119471568064,,0.8881618339602083,169.0,0.09707064905226881
令和6年度,推進交付金,目標Ⅲ,介護人材の確保その他のサービス提供基盤の整備を推進する,目標Ⅲｰ（ⅱ）活動指標群,2 / 介護人材の定着・資質向上に関する研修の実施状況 / エ,101,3.0,0.0,0.09649626651349799,,0.5293177401990697,56.0,0.032165422171166
令和6年度,推進交付金,目標Ⅲ,介護人材の確保その他のサービス提供基盤の整備を推進する,目標Ⅲｰ（ⅱ）活動指標群,3 / 介護支援専門員に対する研修の実施状況 / ア,102,3.0,0.0,1.8403216542217116,,1.4608836954623725,1068.0,0.6134405514072372
令和6年度,推進交付金,目標Ⅲ,介護人材の確保その他のサービス提供基盤の整備を推進する,目標Ⅲｰ（ⅱ）活動指標群,3 / 介護支援専門員に対する研修の実施状況 / イ,103,3.0,0.0,1.0631820792647904,,1.4349878411068744,617.0,0.3543940264215968
令和6年度,推進交付金,目標Ⅲ,介護人材の確保その他のサービス提供基盤の整備を推進する,目標Ⅲｰ（ⅱ）活動指標群,3 / 介護支援専門員に対する研修の実施状況 / ウ,104,3.0,0.0,0.6668581275129236,,1.2473470328295684,387.0,0.22228604250430786
令和6年度,推進交付金,目標Ⅲ,介護人材の確保その他のサービス提供基盤の整備を推進する,目標Ⅲｰ（ⅱ）活動指標群,3 / 介護支援専門員に対する研修の実施状況 / エ,105,3.0,0.0,0.18437679494543366,,0.7205106399783077,107.0,0.061458931648477884
令和6年度,推進交付金,目標Ⅲ,介護人材の確保その他のサービス提供基盤の整備を推進する,,Ⅲ（ⅰ） 計,106,64.0,12.0,33.83342906375646,34.0,18.009310477852896,,
令和6年度,推進交付金,目標Ⅲ,介護人材の確保その他のサービス提供基盤の整備を推進する,,Ⅲ（ⅱ） 計,107,36.0,0.0,7.207926479035037,6.0,7.299324896772582,,
令和6年度,推進交付金,目標Ⅲ,介護人材の確保その他のサービス提供基盤の整備を推進する,,Ⅲ 合計,108,100.0,12.0,41.0413555427915,41.0,22.37091405709872,,
令和6年度,推進交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,目標Ⅳｰ成果指標群,1 / 短期的な要介護度の変化（要介護１・２） / ア / ①,109,5.0,5.0,2.1395749569213094,,2.473882331138998,745.0,0.4279149913842619
令和6年度,推進交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,目標Ⅳｰ成果指標群,1 / 短期的な要介護度の変化（要介護１・２） / ア / ②,110,5.0,5.0,1.7231476163124642,,2.3762365989015053,600.0,0.3446295232624928
令和6年度,推進交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,目標Ⅳｰ成果指標群,1 / 短期的な要介護度の変化（要介護１・２） / ア / ③,111,5.0,5.0,1.1774842044801839,,2.121544713316358,410.0,0.23549684089603676
令和6年度,推進交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,目標Ⅳｰ成果指標群,1 / 短期的な要介護度の変化（要介護１・２） / ア / ④,112,5.0,0.0,0.4595060310166571,,1.4444321938196354,160.0,0.09190120620333142
令和6年度,推進交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,目標Ⅳｰ成果指標群,1 / 短期的な要介護度の変化（要介護１・２） / イ / ①,113,5.0,0.0,1.9730040206777715,,2.44382389663785,687.0,0.39460080413555426
令和6年度,推進交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,目標Ⅳｰ成果指標群,1 / 短期的な要介護度の変化（要介護１・２） / イ / ②,114,5.0,0.0,1.6542217116599656,,2.352585617352236,576.0,0.3308443423319931
令和6年度,推進交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,目標Ⅳｰ成果指標群,1 / 短期的な要介護度の変化（要介護１・２） / イ / ③,115,5.0,0.0,1.1401493394600803,,2.0978098534016723,397.0,0.22802986789201607
令和6年度,推進交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,目標Ⅳｰ成果指標群,1 / 短期的な要介護度の変化（要介護１・２） / イ / ④,116,5.0,0.0,0.44514646754738657,,1.423930110703126,155.0,0.08902929350947732
令和6年度,推進交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,目標Ⅳｰ成果指標群,2 / 長期的な要介護度の変化（要介護１・２） / ア,117,5.0,5.0,3.55255600229753,,2.267625600055583,1237.0,0.710511200459506
令和6年度,推進交付金,目標Ⅳ,高齢者がその状況に応じて可能な限り自立した日常生活を営む,目標Ⅳｰ成果指標群,2 / 長期的な要介護度の変化（要介護１・２） / イ,118,5.0,0.0,2.498564043653073,,2.49999958760584,870.0,0.4997128087306146
