資料,章,設問番号,設問文,令和7年8月版の対応項目,必須/オプション/村独自,第9期(令和4年8月版)との異同,判定,対応要否・メモ
資料B'（ニーズ調査）,問３ 食べることについて,②,【（６）で「１．自分の歯は20本以上、かつ入れ歯を利用」「３．自分の歯は19本以下、かつ入れ歯を利用」の方のみ】 毎日入れ歯の手入れをしていますか,,,第9期 問3(8)② 毎日入れ歯の手入れをしていますか に対応,,
資料B'（ニーズ調査）,問３ 食べることについて,（７）,6か月間で2～3kg以上の体重減少がありましたか,,,第9期に対応設問あり：６か月間で２～３kg以上の体重減少がありましたか,,
資料B'（ニーズ調査）,問３ 食べることについて,（８）,どなたかと食事をともにする機会はありますか,,,第9期に対応設問あり：どなたかと食事をともにする機会はありますか,,
資料B'（ニーズ調査）,問３ 食べることについて,（９）,定期的に歯科医院を受診していますか,,,第9期に対応設問あり：定期的に歯科医院を受診していますか,,
資料B'（ニーズ調査）,問３ 食べることについて,（10）,１日に何回食事をとりますか,,,第9期に対応設問あり：１日に何回食事をとりますか,,
資料B'（ニーズ調査）,問４ 毎日の生活について,（１）,物忘れが多いと感じますか,,,第9期に対応設問あり：物忘れが多いと感じますか,,
資料B'（ニーズ調査）,問４ 毎日の生活について,（２）,自分で電話番号を調べて、電話をかけることをしていますか,,,第9期に対応設問あり：自分で電話番号を調べて、電話をかけることをしていますか,,
資料B'（ニーズ調査）,問４ 毎日の生活について,（３）,今日が何月何日かわからない時がありますか,,,第9期に対応設問あり：今日が何月何日かわからない時がありますか,,
資料B'（ニーズ調査）,問４ 毎日の生活について,（４）,バスや電車を使って1人で外出していますか（自家用車でも可）,,,第9期に対応設問あり：バスや電車を使って 1 人で外出していますか（自家用車でも可） 7.3％,,
資料B'（ニーズ調査）,問４ 毎日の生活について,（５）,自分で食品・日用品の買物をしていますか,,,第9期に対応設問あり：自分で食品・日用品の買物をしていますか 3.3％,,
資料B'（ニーズ調査）,問４ 毎日の生活について,（６）,自分で食事の用意をしていますか,,,第9期に対応設問あり：自分で食事の用意をしていますか 4.7％,,
資料B'（ニーズ調査）,問４ 毎日の生活について,（７）,自分で請求書の支払いをしていますか,,,第9期に対応設問あり：自分で請求書の支払いをしていますか 2.9％,,
資料B'（ニーズ調査）,問４ 毎日の生活について,（８）,自分で預貯金の出し入れをしていますか,,,第9期に対応設問あり：自分で預貯金の出し入れをしていますか 2.8％,,
資料B'（ニーズ調査）,問４ 毎日の生活について,（９）,年金などの書類（役所や病院などに出す書類）が書けますか,,,第9期に対応設問あり：年金などの書類（役所や病院などに出す書類）が書けますか 7.1％,,
資料B'（ニーズ調査）,問４ 毎日の生活について,（10）,新聞を読んでいますか,,,第9期に対応設問あり：新聞を読んでいますか 16.1％,,
資料B'（ニーズ調査）,問４ 毎日の生活について,（11）,本や雑誌を読んでいますか,,,第9期に対応設問あり：本や雑誌を読んでいますか 23.0％,,
資料B'（ニーズ調査）,問４ 毎日の生活について,（12）,健康についての記事や番組に関心がありますか,,,第9期に対応設問あり：健康についての記事や番組に関心がありますか 7.9％,,
資料B'（ニーズ調査）,問４ 毎日の生活について,（13）,友人の家を訪ねていますか,,,第9期に対応設問あり：友人の家を訪ねていますか 26.9％,,
資料B'（ニーズ調査）,問４ 毎日の生活について,（14）,家族や友人の相談にのっていますか,,,第9期に対応設問あり：家族や友人の相談にのっていますか 13.0％,,
資料B'（ニーズ調査）,問４ 毎日の生活について,（15）,病人を見舞うことができますか,,,第9期に対応設問あり：病人を見舞うことができますか 8.6％,,
資料B'（ニーズ調査）,問４ 毎日の生活について,（16）,若い人に自分から話しかけることがありますか,,,第9期に対応設問あり：若い人に自分から話しかけることがありますか 15.9％,,
資料B'（ニーズ調査）,問４ 毎日の生活について,（17）,趣味はありますか（「1.趣味あり」の方は（ ）内に趣味を記入ください）,,,第9期 問4(17) 趣味はありますか に対応,,
資料B'（ニーズ調査）,問４ 毎日の生活について,（18）,生きがいはありますか（「1.生きがいあり」の方は（ ）内に生きがいを記入ください）,,,第9期 問4(18) 生きがいはありますか に対応,,
資料B'（ニーズ調査）,問５ 地域での活動について,（１）,以下のような会・グループ等にどのくらいの頻度で参加していますか ※① - ⑧それぞれに回答してください,,,第9期に対応設問あり：以下のような会・グループ等にどのくらいの頻度で参加していますか（①～⑧ そ,,
資料B'（ニーズ調査）,問５ 地域での活動について,(1)①,ボランティアのグループ,,,第9期 問5(1) 会・グループ等の参加頻度①〜⑧ に対応,,
資料B'（ニーズ調査）,問５ 地域での活動について,(1)②,スポーツ関係のグループやクラブ,,,第9期 問5(1) 会・グループ等の参加頻度①〜⑧ に対応,,
資料B'（ニーズ調査）,問５ 地域での活動について,(1)③,趣味関係のグループ,,,第9期 問5(1) 会・グループ等の参加頻度①〜⑧ に対応,,
資料B'（ニーズ調査）,問５ 地域での活動について,(1)④,学習・教養サークル,,,第9期 問5(1) 会・グループ等の参加頻度①〜⑧ に対応,,
資料B'（ニーズ調査）,問５ 地域での活動について,(1)⑤,介護予防のための通いの場 （はつらつ貯筋教室、シニア元気アップ教室、いきいき百歳体操 など）,,,第9期 問5(1) 会・グループ等の参加頻度①〜⑧ に対応,,
資料B'（ニーズ調査）,問５ 地域での活動について,(1)⑥,老人クラブ,,,第9期 問5(1) 会・グループ等の参加頻度①〜⑧ に対応,,
資料B'（ニーズ調査）,問５ 地域での活動について,(1)⑦,町内会・自治会,,,第9期 問5(1) 会・グループ等の参加頻度①〜⑧ に対応,,
資料B'（ニーズ調査）,問５ 地域での活動について,(1)⑧,収入のある仕事,,,第9期 問5(1) 会・グループ等の参加頻度①〜⑧ に対応,,
資料B'（ニーズ調査）,問５ 地域での活動について,（２）,地域住民の有志によって、健康づくり活動や趣味等のグループ活動を行って、いきいきした地域づくりを進めるとしたら、あなたはその活動に参加者として参加してみたいと思いますか,,,第9期に対応設問あり：地域住民の有志によって、健康づくり活動や趣味等のグループ活動を行って、いき,,
資料B'（ニーズ調査）,問５ 地域での活動について,（３）,地域住民の有志によって、健康づくり活動や趣味等のグループ活動を行って、いきいきした地域づくりを進めるとしたら、あなたはその活動に企画・運営（お世話役）として参加してみたいと思いますか,,,第9期に対応設問あり：地域住民の有志によって、健康づくり活動や趣味等のグループ活動を行って、いき,,
資料B'（ニーズ調査）,問６ たすけあいについて あなたとまわりの人の「たすけあい」についておうかがいします,（１）,あなたの心配事や愚痴（ぐち）を聞いてくれる人（いくつでも）,,,第9期に対応設問あり：あなたの心配事や愚痴（ぐち）を聞いてくれる人（あてはまるものすべてに☑）,,
資料B'（ニーズ調査）,問６ たすけあいについて あなたとまわりの人の「たすけあい」についておうかがいします,（２）,反対に、あなたが心配事や愚痴（ぐち）を聞いてあげる人（いくつでも）,,,第9期に対応設問あり：反対に、あなたが心配事や愚痴（ぐち）を聞いてあげる人（あてはまるものすべて,,
資料B'（ニーズ調査）,問６ たすけあいについて あなたとまわりの人の「たすけあい」についておうかがいします,（３）,あなたが病気で数日間寝込んだときに、看病や世話をしてくれる人（いくつでも）,,,第9期に対応設問あり：あなたが病気で数日間寝込んだときに、看病や世話をしてくれる人（あてはまるも,,
資料B'（ニーズ調査）,問６ たすけあいについて あなたとまわりの人の「たすけあい」についておうかがいします,（４）,反対に、看病や世話をしてあげる人（いくつでも）,,,第9期に対応設問あり：反対に、看病や世話をしてあげる人（あてはまるものすべてに☑）,,
資料B'（ニーズ調査）,問６ たすけあいについて あなたとまわりの人の「たすけあい」についておうかがいします,（５）,家族や友人･知人以外で、何かあったときに相談する相手を教えてください （いくつでも）,,,第9期に対応設問あり：家族や友人･知人以外で、何かあったときに相談する相手を教えてください（あて,,
資料B'（ニーズ調査）,問６ たすけあいについて あなたとまわりの人の「たすけあい」についておうかがいします,（６）,友人・知人と会う頻度はどれくらいですか,,,第9期に対応設問あり：友人・知人と会う頻度はどれくらいですか,,
資料B'（ニーズ調査）,問６ たすけあいについて あなたとまわりの人の「たすけあい」についておうかがいします,（７）,よく会う友人・知人はどんな関係の人ですか（いくつでも）,,,第9期に対応設問あり：よく会う友人・知人はどんな関係の人ですか（あてはまるものすべてに☑）,,
資料B'（ニーズ調査）,問６ たすけあいについて あなたとまわりの人の「たすけあい」についておうかがいします,（８）,現在、利用している、「介護保険など公的サービス以外」の支援・サービスについて、ご回答ください（いくつでも）,,,第9期に対応設問あり：現在、利用している、「介護保険など公的サービス以外」の支援・サービスについ,,
資料B'（ニーズ調査）,問６ たすけあいについて あなたとまわりの人の「たすけあい」についておうかがいします,（10）,今後の在宅生活の継続に必要と感じる支援・サービス（現在利用しているが、さらなる充実が必要と感じる支援・サービスを含む）について、ご回答ください（いくつでも）,,,第9期に対応設問あり：今後の在宅生活の継続に必要と感じる支援・サービス（現在利用しているが、さ,,
資料B'（ニーズ調査）,問７ 健康について,（１）,現在のあなたの健康状態はいかがですか,,,第9期に対応設問あり：現在のあなたの健康状態はいかがですか,,
資料B'（ニーズ調査）,問７ 健康について,（２）,あなたは、現在どの程度幸せですか （「とても不幸」を0点、「とても幸せ」を10点として、ご記入ください）,,,第9期に対応設問あり：あなたは、現在どの程度幸せですか,,
資料B'（ニーズ調査）,問７ 健康について,（３）,この1か月間、気分が沈んだり、ゆううつな気持ちになったりすることがありましたか,,,第9期に対応設問あり：この１か月間、気分が沈んだり、ゆううつな気持ちになったりすることがありました,,
資料B'（ニーズ調査）,問７ 健康について,（４）,この1か月間、どうしても物事に対して興味がわかない、あるいは心から楽しめない感じがよくありましたか,,,第9期に対応設問あり：この１か月間、どうしても物事に対して興味がわかない、あるいは心から楽しめな,,
資料B'（ニーズ調査）,問７ 健康について,（５）,お酒は飲みますか,,,第9期に対応設問あり：お酒は飲みますか,,
資料B'（ニーズ調査）,問７ 健康について,（６）,タバコは吸っていますか,,,第9期に対応設問あり：タバコは吸っていますか,,
資料B'（ニーズ調査）,問７ 健康について,（７）,現在治療中、または後遺症のある病気はありますか（いくつでも）,,,第9期に対応設問あり：現在治療中、または後遺症のある病気はありますか。（あてはまるものすべてに☑）,,
資料B'（ニーズ調査）,問７ 健康について,（８）,定期的に医療機関に通院し、毎日飲む薬を処方されていますか,,,第9期に対応設問あり：定期的に医療機関に通院し、毎日飲む薬を処方されていますか,,
資料B'（ニーズ調査）,問８ 認知症にかかる相談窓口の把握について,（１）,認知症の症状がある又は家族に認知症の症状がある人がいますか,,,第9期に対応設問あり：認知症の症状がある又は家族に認知症の症状がある人がいますか,,
資料B'（ニーズ調査）,問８ 認知症にかかる相談窓口の把握について,（２）,認知症に関する相談窓口を知っていますか,,,第9期に対応設問あり：認知症に関する相談窓口を知っていますか,,
資料B'（ニーズ調査）,問９ 在宅医療・介護・終末期医療について,（１）,在宅医療及び訪問看護のことを知っていますか ※「在宅医療」とは、「体の機能が低下し通院ができない状態になった時、医師が必要に応じて計画的・定期的に自宅に訪問して診療を行うこと」とします。,,,第9期に対応設問あり：在宅医療及び訪問看護のことを知っていますか,,
資料B'（ニーズ調査）,問９ 在宅医療・介護・終末期医療について,（２）,あなたが、加齢や重大な病気などで死が近い状態になった時、どこでどのように 治療や療養をしたいですか ※苦痛はどの場所でも十分に和らぐものとします。ご自身の望みをお答えください。,,,第9期に対応設問あり：あなたが、加齢や重大な病気などで死が近い状態になった時、どこでどのように治,,
資料B'（ニーズ調査）,問９ 在宅医療・介護・終末期医療について,（３）,あなたは、介護が必要になった時、どこで過ごしたいと考えていますか。ご自身の 望みをお答えください,,,第9期に対応設問あり：あなたは、介護が必要になった時、どこで過ごしたいと考えていますか。ご自身の,,
資料B'（ニーズ調査）,問９ 在宅医療・介護・終末期医療について,（４）,あなたは、人生の最期をどこで過ごしたいと考えていますか。ご自身の望みをお答え ください,,,第9期に対応設問あり：あなたは、人生の最期をどこで過ごしたいと考えていますか。ご自身の望みをお答,,
資料B'（ニーズ調査）,問９ 在宅医療・介護・終末期医療について,（５）,人生の最期となった際に、あなたがどこでどのように最期を迎えたいと考えている のかについて、家族や大切な人と話をしたことがありますか,,,第9期に対応設問あり：人生の最期となった際に、あなたがどこでどのように最期を迎えたいと考えている,,
資料B'（ニーズ調査）,問10 成年後見制度について,（１）,成年後見制度をご存知ですか ※「成年後見制度」とは、認知症・知的障害・精神障害などによって判断能力が十分でない方を法律的に支援する制度です。,,,第9期 問10(1) 成年後見制度をご存知ですか に対応,,
資料B'（ニーズ調査）,問10 成年後見制度について,（２）,もしも認知症などが進み、判断能力が低下した場合に備え、日常生活や医療・介護 などのお金の管理をどうするか家族と話したことはありますか,,,第9期に対応設問あり：もしも認知症などが進み、判断能力が低下した場合に備え、日常生活や医療・介護,,
資料B'（ニーズ調査）,問10 成年後見制度について,（３）,認知症等により判断が十分にできなくなった時、成年後見制度を利用したいと思い ますか,,,第9期に対応設問あり：認知症等により判断が十分にできなくなった時、成年後見制度を利用したいと思い,,
資料C'（在宅介護実態調査）,Ａ票,問０,お住まいの地区について、ご回答ください,,,★第10期案で新規追加（第9期の調査票に対応設問なし）,,
資料C'（在宅介護実態調査）,Ａ票,問１,現在、この調査票にご回答を頂いているのは、どなたですか,,,第9期の基本属性【Ａ票に回答されたのはどなたですか】に対応（選択肢からケアマネジャーが消失）,,
資料C'（在宅介護実態調査）,Ａ票,問２,世帯類型について、ご回答ください,,,第9期に対応設問あり：世帯類型について、ご回答ください,,
資料C'（在宅介護実態調査）,Ａ票,問３,ご本人の性別について、ご回答ください,,,★第10期案で新規追加（第9期の調査票に対応設問なし）,,
資料C'（在宅介護実態調査）,Ａ票,問４,ご本人の年齢について、ご回答ください,,,★第10期案で新規追加（第9期の調査票に対応設問なし）,,
資料C'（在宅介護実態調査）,Ａ票,問５,ご本人の要介護度について、ご回答ください,,,★第10期案で新規追加（第9期の調査票に対応設問なし）,,
資料C'（在宅介護実態調査）,Ａ票,問６,現時点での、施設等への入所・入居の検討状況について、ご回答ください,,,第9期に対応設問あり：現時点での、施設等への入所・入居の検討状況について、ご回答ください,,
資料C'（在宅介護実態調査）,Ａ票,問６-1,村内に問６の施設等があったら、入所・入居したいと思いますか,,,第9期に対応設問あり：村内に問 11 の施設等があったら、入所・入居したいと思いますか,,
資料C'（在宅介護実態調査）,Ａ票,問７,ご本人（認定調査対象者）が、現在抱えている傷病について、ご回答ください,,,第9期に対応設問あり：ご本人（認定調査対象者）が、現在抱えている傷病について、ご回答ください,,
資料C'（在宅介護実態調査）,Ａ票,問８,令和●●年●月の１か月の間に、（住宅改修、福祉用具貸与・購入以外の）介護保険サービスを利用しましたか,,,第9期 問14 介護保険サービスを利用していますか に対応（基準月の指定が追加）,,
資料C'（在宅介護実態調査）,Ａ票,問９,問８で「１．」と回答した方にお伺いします。以下の介護保険サービスについて、令和●●年●月の１か月間の利用状況をご回答ください。対象の介護保険サービスをご利用になっていない場合は、「利用していない（０回、１．利用していない,,,★第10期案で新規追加（サービス別の利用回数・日数）,,
資料C'（在宅介護実態調査）,Ａ票／問９,Ａ．,訪問介護 （ホームヘルプサービス）,,,★第10期案で新規追加（サービス別の利用回数・日数）,,
資料C'（在宅介護実態調査）,Ａ票／問９,Ｂ．,訪問入浴介護,,,★第10期案で新規追加（サービス別の利用回数・日数）,,
資料C'（在宅介護実態調査）,Ａ票／問９,Ｃ．,訪問看護,,,★第10期案で新規追加（サービス別の利用回数・日数）,,
資料C'（在宅介護実態調査）,Ａ票／問９,Ｄ．,訪問リハビリテーション,,,★第10期案で新規追加（サービス別の利用回数・日数）,,
資料C'（在宅介護実態調査）,Ａ票／問９,Ｅ．,通所介護 （デイサービス）,,,★第10期案で新規追加（サービス別の利用回数・日数）,,
資料C'（在宅介護実態調査）,Ａ票／問９,Ｆ．,通所リハビリテーション （デイケア）,,,★第10期案で新規追加（サービス別の利用回数・日数）,,
資料C'（在宅介護実態調査）,Ａ票／問９,Ｇ．,夜間対応型訪問介護 （※訪問のあった回数を回答）,,,★第10期案で新規追加（サービス別の利用回数・日数）,,
資料C'（在宅介護実態調査）,Ａ票／問９,Ｈ．,定期巡回・随時対応型 訪問介護看護,,,★第10期案で新規追加（サービス別の利用回数・日数）,,
資料C'（在宅介護実態調査）,Ａ票／問９,Ｉ．,小規模多機能型居宅介護,,,★第10期案で新規追加（サービス別の利用回数・日数）,,
資料C'（在宅介護実態調査）,Ａ票／問９,Ｊ．,看護小規模多機能型 居宅介護,,,★第10期案で新規追加（サービス別の利用回数・日数）,,
資料C'（在宅介護実態調査）,Ａ票／問９,K．,ショートステイ,,,★第10期案で新規追加（サービス別の利用回数・日数）,,
資料C'（在宅介護実態調査）,Ａ票／問９,L．,居宅療養管理指導,,,★第10期案で新規追加（サービス別の利用回数・日数）,,
資料C'（在宅介護実態調査）,Ａ票,問10,問８で「２．」と回答した方にお伺いします。介護保険サービスを利用していない理由は何ですか,,,第9期に対応設問あり：問 14 で「２．」と回答した方にお伺いします。介護保険サービスを利用していな,,
資料C'（在宅介護実態調査）,Ａ票,問11,現在、利用している、「介護保険サービス以外」の支援・サービスについて、ご回答ください,,,第9期に対応設問あり：現在、利用している、「介護保険サービス以外」の支援・サービスについて、ご回,,
資料C'（在宅介護実態調査）,Ａ票,問12,今後の在宅生活の継続に必要と感じる支援・サービス（現在利用しているが、さらなる充実が必要と感じる支援・サービスを含む）について、ご回答ください,,,第9期に対応設問あり：今後の在宅生活の継続に必要と感じる支援・サービス（現在利用しているが、さ,,
資料C'（在宅介護実態調査）,Ａ票,問13,ご本人（認定調査対象者）は、現在、訪問診療を利用していますか,,,第9期に対応設問あり：ご本人（認定調査対象者）は、現在、訪問診療を利用していますか,,
資料C'（在宅介護実態調査）,Ａ票,問14,ご家族やご親族の方からの介護は、週にどのくらいありますか（同居していない子どもや親族等からの介護を含む）,,,第9期に対応設問あり：ご家族やご親族の方からの介護は、週にどのくらいありますか。（同居していない,,
資料C'（在宅介護実態調査）,Ｂ票,問１,ご家族やご親族の中で、ご本人（認定調査対象者）の介護を主な理由として、過去1年の間に仕事を辞めた方はいますか（現在働いているかどうかや、現在の勤務形態は問いません）,,,第9期の基本属性【Ａ票に回答されたのはどなたですか】に対応（選択肢からケアマネジャーが消失）,,
資料C'（在宅介護実態調査）,Ｂ票,問２,主な介護者の方は、どなたですか,,,第9期に対応設問あり：主な介護者の方は、どなたですか,,
資料C'（在宅介護実態調査）,Ｂ票,問３,主な介護者の方の性別について、ご回答ください,,,★第10期案で新規追加（第9期の調査票に対応設問なし）,,
資料C'（在宅介護実態調査）,Ｂ票,問４,主な介護者の方の年齢について、ご回答ください,,,★第10期案で新規追加（第9期の調査票に対応設問なし）,,
資料C'（在宅介護実態調査）,Ｂ票,問５,現在、主な介護者の方が行っている介護等について、ご回答ください,,,★第10期案で新規追加（第9期の調査票に対応設問なし）,,
資料C'（在宅介護実態調査）,Ｂ票,問６,現在の生活を継続していくにあたって、主な介護者の方が不安に感じる介護等について、ご回答ください（現状で行っているか否かは問いません）,,,第9期に対応設問あり：現在の生活を継続していくにあたって、主な介護者の方が不安に感じる介護等につ,,
資料C'（在宅介護実態調査）,Ｂ票,問７,主な介護者の方の現在の勤務形態について、ご回答ください,,,第9期に対応設問あり：主な介護者の方の現在の勤務形態について、ご回答ください,,
資料C'（在宅介護実態調査）,Ｂ票,問８,問７で「１．」「２．」と回答した方にお伺いします。主な介護者の方は、介護をするにあたって、何か働き方についての調整等をしていますか,,,第9期 Ｂ票 問2／問3／問4 に対応,,
資料C'（在宅介護実態調査）,Ｂ票,問９,問７で「１．」「２．」と回答した方にお伺いします。主な介護者の方は、勤め先からどのような支援があれば、仕事と介護の両立に効果があると思いますか,,,第9期 Ｂ票 問2／問3／問4 に対応,,
資料C'（在宅介護実態調査）,Ｂ票,問10,問７で「１．」「２．」と回答した方にお伺いします。主な介護者の方は、今後も働きながら介護を続けていけそうですか,,,第9期 Ｂ票 問2／問3／問4 に対応,,
