code,chart,大項目,系列,単位,period,value
P3,介護費用額の推移,第1号被保険者1人1月あたり費用額（福島県）,第1号被保険者1人1月あたり費用額（福島県）,（円）,令和元年度,24818.7
P3,介護費用額の推移,第1号被保険者1人1月あたり費用額（福島県）,第1号被保険者1人1月あたり費用額（福島県）,（円）,令和2年度,25212.9
P3,介護費用額の推移,第1号被保険者1人1月あたり費用額（福島県）,第1号被保険者1人1月あたり費用額（福島県）,（円）,令和3年度,25425.7
P3,介護費用額の推移,第1号被保険者1人1月あたり費用額（福島県）,第1号被保険者1人1月あたり費用額（福島県）,（円）,令和4年度,25477.2
P3,介護費用額の推移,第1号被保険者1人1月あたり費用額（福島県）,第1号被保険者1人1月あたり費用額（福島県）,（円）,令和5年度,25871.4
P3,介護費用額の推移,第1号被保険者1人1月あたり費用額（福島県）,第1号被保険者1人1月あたり費用額（福島県）,（円）,令和6年度(R7/2月サービス提供分まで),26518.0
P3,介護費用額の推移,第1号被保険者1人1月あたり費用額（福島県）,第1号被保険者1人1月あたり費用額（福島県）,（円）,令和7年度(R8/2月サービス提供分まで),26848.4
P3,介護費用額の推移,第1号被保険者1人1月あたり費用額（全国）,第1号被保険者1人1月あたり費用額（全国）,（円）,平成29年度,23238.3
P3,介護費用額の推移,第1号被保険者1人1月あたり費用額（全国）,第1号被保険者1人1月あたり費用額（全国）,（円）,平成30年度,23498.7
P3,介護費用額の推移,第1号被保険者1人1月あたり費用額（全国）,第1号被保険者1人1月あたり費用額（全国）,（円）,令和元年度,24105.9
P3,介護費用額の推移,第1号被保険者1人1月あたり費用額（全国）,第1号被保険者1人1月あたり費用額（全国）,（円）,令和2年度,24567.0
P3,介護費用額の推移,第1号被保険者1人1月あたり費用額（全国）,第1号被保険者1人1月あたり費用額（全国）,（円）,令和3年度,25136.9
P3,介護費用額の推移,第1号被保険者1人1月あたり費用額（全国）,第1号被保険者1人1月あたり費用額（全国）,（円）,令和4年度,25471.0
P3,介護費用額の推移,第1号被保険者1人1月あたり費用額（全国）,第1号被保険者1人1月あたり費用額（全国）,（円）,令和5年度,26228.8
P3,介護費用額の推移,第1号被保険者1人1月あたり費用額（全国）,第1号被保険者1人1月あたり費用額（全国）,（円）,令和6年度(R7/2月サービス提供分まで),27146.8
P3,介護費用額の推移,第1号被保険者1人1月あたり費用額（全国）,第1号被保険者1人1月あたり費用額（全国）,（円）,令和7年度(R8/2月サービス提供分まで),27815.4
P4,保険料額の推移,必要保険料額（合計）,必要保険料額（合計）,（円）,平成30年度,6012.0
P4,保険料額の推移,必要保険料額（合計）,必要保険料額（合計）,（円）,令和元年度,6011.0
P4,保険料額の推移,必要保険料額（合計）,必要保険料額（合計）,（円）,令和2年度,5830.0
P4,保険料額の推移,必要保険料額（合計）,必要保険料額（合計）,（円）,令和3年度,5451.0
P4,保険料額の推移,必要保険料額（合計）,必要保険料額（合計）,（円）,令和4年度,6007.0
P4,保険料額の推移,必要保険料額（合計）,必要保険料額（合計）,（円）,令和5年度,6335.0
P4,保険料額の推移,必要保険料額（合計）,必要保険料額（合計）,（円）,令和6年度(R7/2月サービス提供分まで),5991.0
P4,保険料額の推移,必要保険料額（合計）,必要保険料額（合計）,（円）,令和7年度(R8/2月サービス提供分まで),6501.0
P4,保険料額の推移,必要保険料額（合計）,必要保険料額（在宅サービス）,（円）,平成30年度,1492.0
P4,保険料額の推移,必要保険料額（合計）,必要保険料額（在宅サービス）,（円）,令和元年度,1362.0
P4,保険料額の推移,必要保険料額（合計）,必要保険料額（在宅サービス）,（円）,令和2年度,1409.0
P4,保険料額の推移,必要保険料額（合計）,必要保険料額（在宅サービス）,（円）,令和3年度,1459.0
P4,保険料額の推移,必要保険料額（合計）,必要保険料額（在宅サービス）,（円）,令和4年度,1337.0
P4,保険料額の推移,必要保険料額（合計）,必要保険料額（在宅サービス）,（円）,令和5年度,1399.0
P4,保険料額の推移,必要保険料額（合計）,必要保険料額（在宅サービス）,（円）,令和6年度(R7/2月サービス提供分まで),1504.0
P4,保険料額の推移,必要保険料額（合計）,必要保険料額（在宅サービス）,（円）,令和7年度(R8/2月サービス提供分まで),1752.0
P4,保険料額の推移,必要保険料額（合計）,必要保険料額（居住系サービス）,（円）,平成30年度,975.0
P4,保険料額の推移,必要保険料額（合計）,必要保険料額（居住系サービス）,（円）,令和元年度,1146.0
P4,保険料額の推移,必要保険料額（合計）,必要保険料額（居住系サービス）,（円）,令和2年度,1206.0
P4,保険料額の推移,必要保険料額（合計）,必要保険料額（居住系サービス）,（円）,令和3年度,1057.0
P4,保険料額の推移,必要保険料額（合計）,必要保険料額（居住系サービス）,（円）,令和4年度,1221.0
P4,保険料額の推移,必要保険料額（合計）,必要保険料額（居住系サービス）,（円）,令和5年度,1384.0
P4,保険料額の推移,必要保険料額（合計）,必要保険料額（居住系サービス）,（円）,令和6年度(R7/2月サービス提供分まで),1423.0
P4,保険料額の推移,必要保険料額（合計）,必要保険料額（居住系サービス）,（円）,令和7年度(R8/2月サービス提供分まで),1652.0
P4,保険料額の推移,必要保険料額（合計）,必要保険料額（施設サービス）,（円）,平成30年度,2338.0
P4,保険料額の推移,必要保険料額（合計）,必要保険料額（施設サービス）,（円）,令和元年度,2274.0
P4,保険料額の推移,必要保険料額（合計）,必要保険料額（施設サービス）,（円）,令和2年度,2033.0
P4,保険料額の推移,必要保険料額（合計）,必要保険料額（施設サービス）,（円）,令和3年度,1943.0
P4,保険料額の推移,必要保険料額（合計）,必要保険料額（施設サービス）,（円）,令和4年度,2296.0
P4,保険料額の推移,必要保険料額（合計）,必要保険料額（施設サービス）,（円）,令和5年度,2456.0
P4,保険料額の推移,必要保険料額（合計）,必要保険料額（施設サービス）,（円）,令和6年度(R7/2月サービス提供分まで),2120.0
P4,保険料額の推移,必要保険料額（合計）,必要保険料額（施設サービス）,（円）,令和7年度(R8/2月サービス提供分まで),2180.0
P4,保険料額の推移,必要保険料額（合計）,必要保険料額（その他）,（円）,平成30年度,1207.0
P4,保険料額の推移,必要保険料額（合計）,必要保険料額（その他）,（円）,令和元年度,1229.0
P4,保険料額の推移,必要保険料額（合計）,必要保険料額（その他）,（円）,令和2年度,1182.0
P4,保険料額の推移,必要保険料額（合計）,必要保険料額（その他）,（円）,令和3年度,992.0
P4,保険料額の推移,必要保険料額（合計）,必要保険料額（その他）,（円）,令和4年度,1153.0
P4,保険料額の推移,必要保険料額（合計）,必要保険料額（その他）,（円）,令和5年度,1096.0
P4,保険料額の推移,必要保険料額（合計）,必要保険料額（その他）,（円）,令和6年度(R7/2月サービス提供分まで),944.0
P4,保険料額の推移,必要保険料額（合計）,必要保険料額（その他）,（円）,令和7年度(R8/2月サービス提供分まで),917.0
P4,保険料額の推移,保険料基準額,保険料基準額,（円）,平成30年度,5900.0
P4,保険料額の推移,保険料基準額,保険料基準額,（円）,令和元年度,5900.0
P4,保険料額の推移,保険料基準額,保険料基準額,（円）,令和2年度,5900.0
P4,保険料額の推移,保険料基準額,保険料基準額,（円）,令和3年度,6300.0
P4,保険料額の推移,保険料基準額,保険料基準額,（円）,令和4年度,6300.0
P4,保険料額の推移,保険料基準額,保険料基準額,（円）,令和5年度,6300.0
P4,保険料額の推移,保険料基準額,保険料基準額,（円）,令和6年度(R7/2月サービス提供分まで),6700.0
P4,保険料額の推移,保険料基準額,保険料基準額,（円）,令和7年度(R8/2月サービス提供分まで),6700.0
P4,保険料額の推移,保険料基準額,保険料基準額,（円）,令和8年度,6700.0
P4,保険料額の推移,保険料基準額（福島県）,保険料基準額（福島県）,（円）,平成30年度,6061.0
P4,保険料額の推移,保険料基準額（福島県）,保険料基準額（福島県）,（円）,令和元年度,6061.0
P4,保険料額の推移,保険料基準額（福島県）,保険料基準額（福島県）,（円）,令和2年度,6061.0
P4,保険料額の推移,保険料基準額（福島県）,保険料基準額（福島県）,（円）,令和3年度,6108.0
P4,保険料額の推移,保険料基準額（福島県）,保険料基準額（福島県）,（円）,令和4年度,6108.0
P4,保険料額の推移,保険料基準額（福島県）,保険料基準額（福島県）,（円）,令和5年度,6108.0
P4,保険料額の推移,保険料基準額（福島県）,保険料基準額（福島県）,（円）,令和6年度(R7/2月サービス提供分まで),6340.0
P4,保険料額の推移,保険料基準額（福島県）,保険料基準額（福島県）,（円）,令和7年度(R8/2月サービス提供分まで),6340.0
P4,保険料額の推移,保険料基準額（福島県）,保険料基準額（福島県）,（円）,令和8年度,6340.0
P4,保険料額の推移,保険料基準額（全国）,保険料基準額（全国）,（円）,平成30年度,5784.0
P4,保険料額の推移,保険料基準額（全国）,保険料基準額（全国）,（円）,令和元年度,5784.0
P4,保険料額の推移,保険料基準額（全国）,保険料基準額（全国）,（円）,令和2年度,5784.0
P4,保険料額の推移,保険料基準額（全国）,保険料基準額（全国）,（円）,令和3年度,6014.0
P4,保険料額の推移,保険料基準額（全国）,保険料基準額（全国）,（円）,令和4年度,6014.0
P4,保険料額の推移,保険料基準額（全国）,保険料基準額（全国）,（円）,令和5年度,6014.0
P4,保険料額の推移,保険料基準額（全国）,保険料基準額（全国）,（円）,令和6年度(R7/2月サービス提供分まで),6225.0
P4,保険料額の推移,保険料基準額（全国）,保険料基準額（全国）,（円）,令和7年度(R8/2月サービス提供分まで),6225.0
P4,保険料額の推移,保険料基準額（全国）,保険料基準額（全国）,（円）,令和8年度,6225.0
P1,人口の推移,人口,人口,（人),2010,3185.0
P1,人口の推移,人口,人口,（人),2015,2831.0
P1,人口の推移,人口,人口,（人),2020,2556.0
P1,人口の推移,人口,人口,（人),2025,2315.0
P1,人口の推移,人口,人口,（人),2030,2075.0
P1,人口の推移,人口,人口,（人),2035,1863.0
P1,人口の推移,人口,人口,（人),2040,1654.0
P1,人口の推移,人口,人口,（人),2045,1447.0
P1,人口の推移,人口,人口,（人),2050,1259.0
P1,人口の推移,人口,15歳未満,（人),2010,415.0
P1,人口の推移,人口,15歳未満,（人),2015,324.0
P1,人口の推移,人口,15歳未満,（人),2020,258.0
P1,人口の推移,人口,15歳未満,（人),2025,186.0
P1,人口の推移,人口,15歳未満,（人),2030,156.0
P1,人口の推移,人口,15歳未満,（人),2035,132.0
P1,人口の推移,人口,15歳未満,（人),2040,119.0
P1,人口の推移,人口,15歳未満,（人),2045,104.0
P1,人口の推移,人口,15歳未満,（人),2050,86.0
P1,人口の推移,人口,15歳～40歳未満,（人),2010,713.0
P1,人口の推移,人口,15歳～40歳未満,（人),2015,588.0
P1,人口の推移,人口,15歳～40歳未満,（人),2020,511.0
P1,人口の推移,人口,15歳～40歳未満,（人),2025,451.0
P1,人口の推移,人口,15歳～40歳未満,（人),2030,395.0
P1,人口の推移,人口,15歳～40歳未満,（人),2035,345.0
P1,人口の推移,人口,15歳～40歳未満,（人),2040,280.0
P1,人口の推移,人口,15歳～40歳未満,（人),2045,224.0
P1,人口の推移,人口,15歳～40歳未満,（人),2050,176.0
P1,人口の推移,人口,40歳～65歳未満,（人),2010,1166.0
P1,人口の推移,人口,40歳～65歳未満,（人),2015,1020.0
P1,人口の推移,人口,40歳～65歳未満,（人),2020,838.0
P1,人口の推移,人口,40歳～65歳未満,（人),2025,741.0
P1,人口の推移,人口,40歳～65歳未満,（人),2030,613.0
P1,人口の推移,人口,40歳～65歳未満,（人),2035,543.0
P1,人口の推移,人口,40歳～65歳未満,（人),2040,490.0
P1,人口の推移,人口,40歳～65歳未満,（人),2045,427.0
P1,人口の推移,人口,40歳～65歳未満,（人),2050,378.0
P1,人口の推移,人口,65歳～75歳未満,（人),2010,345.0
P1,人口の推移,人口,65歳～75歳未満,（人),2015,399.0
P1,人口の推移,人口,65歳～75歳未満,（人),2020,507.0
P1,人口の推移,人口,65歳～75歳未満,（人),2025,457.0
P1,人口の推移,人口,65歳～75歳未満,（人),2030,360.0
P1,人口の推移,人口,65歳～75歳未満,（人),2035,302.0
P1,人口の推移,人口,65歳～75歳未満,（人),2040,246.0
P1,人口の推移,人口,65歳～75歳未満,（人),2045,235.0
P1,人口の推移,人口,65歳～75歳未満,（人),2050,221.0
P1,人口の推移,人口,75歳以上,（人),2010,546.0
P1,人口の推移,人口,75歳以上,（人),2015,500.0
P1,人口の推移,人口,75歳以上,（人),2020,441.0
P1,人口の推移,人口,75歳以上,（人),2025,480.0
P1,人口の推移,人口,75歳以上,（人),2030,551.0
P1,人口の推移,人口,75歳以上,（人),2035,541.0
P1,人口の推移,人口,75歳以上,（人),2040,519.0
P1,人口の推移,人口,75歳以上,（人),2045,457.0
P1,人口の推移,人口,75歳以上,（人),2050,398.0
P1,人口の推移,人口,生産年齢人口,（人),2010,1879.0
P1,人口の推移,人口,生産年齢人口,（人),2015,1608.0
P1,人口の推移,人口,生産年齢人口,（人),2020,1349.0
P1,人口の推移,人口,生産年齢人口,（人),2025,1192.0
P1,人口の推移,人口,生産年齢人口,（人),2030,1008.0
P1,人口の推移,人口,生産年齢人口,（人),2035,888.0
P1,人口の推移,人口,生産年齢人口,（人),2040,770.0
P1,人口の推移,人口,生産年齢人口,（人),2045,651.0
P1,人口の推移,人口,生産年齢人口,（人),2050,554.0
P1,人口の推移,人口,高齢者人口,（人),2010,891.0
P1,人口の推移,人口,高齢者人口,（人),2015,899.0
P1,人口の推移,人口,高齢者人口,（人),2020,948.0
P1,人口の推移,人口,高齢者人口,（人),2025,937.0
P1,人口の推移,人口,高齢者人口,（人),2030,911.0
P1,人口の推移,人口,高齢者人口,（人),2035,843.0
P1,人口の推移,人口,高齢者人口,（人),2040,765.0
P1,人口の推移,人口,高齢者人口,（人),2045,692.0
P1,人口の推移,人口,高齢者人口,（人),2050,619.0
P1,人口の推移,生産年齢人口割合,生産年齢人口割合,（%）,2010,59.0
P1,人口の推移,生産年齢人口割合,生産年齢人口割合,（%）,2015,56.8
P1,人口の推移,生産年齢人口割合,生産年齢人口割合,（%）,2020,52.8
P1,人口の推移,生産年齢人口割合,生産年齢人口割合,（%）,2025,51.5
P1,人口の推移,生産年齢人口割合,生産年齢人口割合,（%）,2030,48.6
P1,人口の推移,生産年齢人口割合,生産年齢人口割合,（%）,2035,47.7
P1,人口の推移,生産年齢人口割合,生産年齢人口割合,（%）,2040,46.6
P1,人口の推移,生産年齢人口割合,生産年齢人口割合,（%）,2045,45.0
P1,人口の推移,生産年齢人口割合,生産年齢人口割合,（%）,2050,44.0
P1,人口の推移,高齢化率,高齢化率,（%）,2010,28.0
P1,人口の推移,高齢化率,高齢化率,（%）,2015,31.8
P1,人口の推移,高齢化率,高齢化率,（%）,2020,37.1
P1,人口の推移,高齢化率,高齢化率,（%）,2025,40.5
P1,人口の推移,高齢化率,高齢化率,（%）,2030,43.9
P1,人口の推移,高齢化率,高齢化率,（%）,2035,45.2
P1,人口の推移,高齢化率,高齢化率,（%）,2040,46.3
P1,人口の推移,高齢化率,高齢化率,（%）,2045,47.8
P1,人口の推移,高齢化率,高齢化率,（%）,2050,49.2
P1,人口の推移,高齢化率（福島県）,高齢化率（福島県）,（%）,2010,24.9
P1,人口の推移,高齢化率（福島県）,高齢化率（福島県）,（%）,2015,28.3
P1,人口の推移,高齢化率（福島県）,高齢化率（福島県）,（%）,2020,31.2
P1,人口の推移,高齢化率（福島県）,高齢化率（福島県）,（%）,2025,34.2
P1,人口の推移,高齢化率（福島県）,高齢化率（福島県）,（%）,2030,36.1
P1,人口の推移,高齢化率（福島県）,高齢化率（福島県）,（%）,2035,37.7
P1,人口の推移,高齢化率（福島県）,高齢化率（福島県）,（%）,2040,40.3
P1,人口の推移,高齢化率（福島県）,高齢化率（福島県）,（%）,2045,42.5
P1,人口の推移,高齢化率（福島県）,高齢化率（福島県）,（%）,2050,44.2
P1,人口の推移,高齢化率（全国）,高齢化率（全国）,（%）,2010,22.8
P1,人口の推移,高齢化率（全国）,高齢化率（全国）,（%）,2015,26.3
P1,人口の推移,高齢化率（全国）,高齢化率（全国）,（%）,2020,28.0
P1,人口の推移,高齢化率（全国）,高齢化率（全国）,（%）,2025,29.6
P1,人口の推移,高齢化率（全国）,高齢化率（全国）,（%）,2030,30.8
P1,人口の推移,高齢化率（全国）,高齢化率（全国）,（%）,2035,32.3
P1,人口の推移,高齢化率（全国）,高齢化率（全国）,（%）,2040,34.8
P1,人口の推移,高齢化率（全国）,高齢化率（全国）,（%）,2045,36.3
P1,人口の推移,高齢化率（全国）,高齢化率（全国）,（%）,2050,37.1
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数,（人）,令和元年3月末,183.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数,（人）,令和2年3月末,174.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数,（人）,令和3年3月末,186.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数,（人）,令和4年3月末,187.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数,（人）,令和5年3月末,191.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数,（人）,令和6年3月末,200.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数,（人）,令和7年3月末時点,198.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数,（人）,令和8年3月末時点,214.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数,（人）,令和8年4月末時点,211.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要支援１）,（人）,令和元年3月末,17.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要支援１）,（人）,令和2年3月末,17.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要支援１）,（人）,令和3年3月末,21.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要支援１）,（人）,令和4年3月末,29.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要支援１）,（人）,令和5年3月末,28.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要支援１）,（人）,令和6年3月末,38.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要支援１）,（人）,令和7年3月末時点,39.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要支援１）,（人）,令和8年3月末時点,51.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要支援１）,（人）,令和8年4月末時点,51.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要支援２）,（人）,令和元年3月末,17.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要支援２）,（人）,令和2年3月末,20.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要支援２）,（人）,令和3年3月末,26.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要支援２）,（人）,令和4年3月末,33.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要支援２）,（人）,令和5年3月末,34.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要支援２）,（人）,令和6年3月末,31.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要支援２）,（人）,令和7年3月末時点,27.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要支援２）,（人）,令和8年3月末時点,29.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要支援２）,（人）,令和8年4月末時点,29.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（経過的要介護）,（人）,令和元年3月末,0.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（経過的要介護）,（人）,令和2年3月末,0.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（経過的要介護）,（人）,令和3年3月末,0.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（経過的要介護）,（人）,令和4年3月末,0.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（経過的要介護）,（人）,令和5年3月末,0.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（経過的要介護）,（人）,令和6年3月末,0.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（経過的要介護）,（人）,令和7年3月末時点,0.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（経過的要介護）,（人）,令和8年3月末時点,0.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（経過的要介護）,（人）,令和8年4月末時点,0.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護１）,（人）,令和元年3月末,51.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護１）,（人）,令和2年3月末,43.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護１）,（人）,令和3年3月末,45.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護１）,（人）,令和4年3月末,34.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護１）,（人）,令和5年3月末,38.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護１）,（人）,令和6年3月末,51.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護１）,（人）,令和7年3月末時点,47.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護１）,（人）,令和8年3月末時点,49.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護１）,（人）,令和8年4月末時点,50.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護２）,（人）,令和元年3月末,30.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護２）,（人）,令和2年3月末,32.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護２）,（人）,令和3年3月末,31.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護２）,（人）,令和4年3月末,32.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護２）,（人）,令和5年3月末,30.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護２）,（人）,令和6年3月末,27.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護２）,（人）,令和7年3月末時点,29.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護２）,（人）,令和8年3月末時点,26.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護２）,（人）,令和8年4月末時点,27.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護３）,（人）,令和元年3月末,25.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護３）,（人）,令和2年3月末,25.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護３）,（人）,令和3年3月末,28.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護３）,（人）,令和4年3月末,27.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護３）,（人）,令和5年3月末,25.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護３）,（人）,令和6年3月末,20.0
P2,要介護（要支援）認定者数、認定率の推移,認定者数,認定者数（要介護３）,（人）,令和7年3月末時点,20.0
