folder,file,code,kind,indicator,unit,region,period,year,period_type,value
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,福島県,2010,2010,暦年,719441.0
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,福島県,2011,2011,暦年,721554.0
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,福島県,2012,2012,暦年,723673.0
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,福島県,2013,2013,暦年,725787.0
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,福島県,2014,2014,暦年,727900.0
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,福島県,2015,2015,暦年,730013.0
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,福島県,2016,2016,暦年,732032.0
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,福島県,2017,2017,暦年,734045.0
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,福島県,2018,2018,暦年,736057.0
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,福島県,2019,2019,暦年,738070.0
世帯　北塩原,A5_一般世帯数_時系列 (2).xlsx,A5,時系列,一般世帯数,（世帯）,福島県,2020,2020,暦年,740089.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,北塩原村,2000,2000,暦年,55.9
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,北塩原村,2001,2001,暦年,56.1
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,北塩原村,2002,2002,暦年,56.4
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,北塩原村,2003,2003,暦年,56.6
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,北塩原村,2004,2004,暦年,56.9
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,北塩原村,2005,2005,暦年,57.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,北塩原村,2006,2006,暦年,56.9
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,北塩原村,2007,2007,暦年,56.7
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,北塩原村,2008,2008,暦年,56.4
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,北塩原村,2009,2009,暦年,56.2
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,北塩原村,2010,2010,暦年,56.1
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,北塩原村,2011,2011,暦年,56.3
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,北塩原村,2012,2012,暦年,56.6
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,北塩原村,2013,2013,暦年,56.9
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,北塩原村,2014,2014,暦年,57.3
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,北塩原村,2015,2015,暦年,57.6
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,北塩原村,2016,2016,暦年,57.7
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,北塩原村,2017,2017,暦年,57.8
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,北塩原村,2018,2018,暦年,57.9
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,北塩原村,2019,2019,暦年,58.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,北塩原村,2020,2020,暦年,58.2
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2000,2000,暦年,612.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2001,2001,暦年,615.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2002,2002,暦年,619.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2003,2003,暦年,622.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2004,2004,暦年,626.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2005,2005,暦年,629.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2006,2006,暦年,621.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2007,2007,暦年,613.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2008,2008,暦年,604.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2009,2009,暦年,596.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2010,2010,暦年,588.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2011,2011,暦年,586.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2012,2012,暦年,584.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2013,2013,暦年,582.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2014,2014,暦年,580.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2015,2015,暦年,578.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2016,2016,暦年,579.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2017,2017,暦年,579.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2018,2018,暦年,580.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2019,2019,暦年,580.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2020,2020,暦年,581.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,総世帯数,（世帯）,北塩原村,2000,2000,暦年,1094.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,総世帯数,（世帯）,北塩原村,2001,2001,暦年,1096.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,総世帯数,（世帯）,北塩原村,2002,2002,暦年,1098.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,総世帯数,（世帯）,北塩原村,2003,2003,暦年,1099.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,総世帯数,（世帯）,北塩原村,2004,2004,暦年,1101.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,総世帯数,（世帯）,北塩原村,2005,2005,暦年,1103.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,総世帯数,（世帯）,北塩原村,2006,2006,暦年,1092.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,総世帯数,（世帯）,北塩原村,2007,2007,暦年,1081.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,総世帯数,（世帯）,北塩原村,2008,2008,暦年,1071.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,総世帯数,（世帯）,北塩原村,2009,2009,暦年,1060.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,総世帯数,（世帯）,北塩原村,2010,2010,暦年,1049.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,総世帯数,（世帯）,北塩原村,2011,2011,暦年,1040.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,総世帯数,（世帯）,北塩原村,2012,2012,暦年,1031.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,総世帯数,（世帯）,北塩原村,2013,2013,暦年,1022.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,総世帯数,（世帯）,北塩原村,2014,2014,暦年,1013.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,総世帯数,（世帯）,北塩原村,2015,2015,暦年,1004.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,総世帯数,（世帯）,北塩原村,2016,2016,暦年,1003.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,総世帯数,（世帯）,北塩原村,2017,2017,暦年,1002.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,総世帯数,（世帯）,北塩原村,2018,2018,暦年,1001.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,総世帯数,（世帯）,北塩原村,2019,2019,暦年,1000.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,総世帯数,（世帯）,北塩原村,2020,2020,暦年,999.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,福島県,2000,2000,暦年,41.7
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,福島県,2001,2001,暦年,42.2
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,福島県,2002,2002,暦年,42.6
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,福島県,2003,2003,暦年,43.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,福島県,2004,2004,暦年,43.5
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,福島県,2005,2005,暦年,43.9
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,福島県,2006,2006,暦年,44.3
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,福島県,2007,2007,暦年,44.6
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,福島県,2008,2008,暦年,44.9
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,福島県,2009,2009,暦年,45.2
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,福島県,2010,2010,暦年,45.6
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,福島県,2011,2011,暦年,46.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,福島県,2012,2012,暦年,46.5
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,福島県,2013,2013,暦年,47.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,福島県,2014,2014,暦年,47.4
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,福島県,2015,2015,暦年,47.9
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,福島県,2016,2016,暦年,48.1
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,福島県,2017,2017,暦年,48.3
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,福島県,2018,2018,暦年,48.5
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,福島県,2019,2019,暦年,48.7
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,福島県,2020,2020,暦年,48.9
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,全国,2000,2000,暦年,32.2
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,全国,2001,2001,暦年,32.8
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,全国,2002,2002,暦年,33.4
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,全国,2003,2003,暦年,33.9
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,全国,2004,2004,暦年,34.5
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,全国,2005,2005,暦年,35.1
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,全国,2006,2006,暦年,35.5
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,全国,2007,2007,暦年,36.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,全国,2008,2008,暦年,36.4
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,全国,2009,2009,暦年,36.9
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,全国,2010,2010,暦年,37.3
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,全国,2011,2011,暦年,38.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,全国,2012,2012,暦年,38.7
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,全国,2013,2013,暦年,39.4
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,全国,2014,2014,暦年,40.0
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,全国,2015,2015,暦年,40.7
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,全国,2016,2016,暦年,40.7
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,全国,2017,2017,暦年,40.7
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,全国,2018,2018,暦年,40.7
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,全国,2019,2019,暦年,40.7
世帯　北塩原,A6-a_高齢者を含む世帯の割合_時系列 (2).xlsx,A6-a,時系列,高齢者を含む世帯の割合,（%）,全国,2020,2020,暦年,40.7
世帯　北塩原,A6_高齢者を含む世帯数_時系列 (2).xlsx,A6,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2000,2000,暦年,612.0
世帯　北塩原,A6_高齢者を含む世帯数_時系列 (2).xlsx,A6,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2001,2001,暦年,615.0
世帯　北塩原,A6_高齢者を含む世帯数_時系列 (2).xlsx,A6,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2002,2002,暦年,619.0
世帯　北塩原,A6_高齢者を含む世帯数_時系列 (2).xlsx,A6,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2003,2003,暦年,622.0
世帯　北塩原,A6_高齢者を含む世帯数_時系列 (2).xlsx,A6,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2004,2004,暦年,626.0
世帯　北塩原,A6_高齢者を含む世帯数_時系列 (2).xlsx,A6,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2005,2005,暦年,629.0
世帯　北塩原,A6_高齢者を含む世帯数_時系列 (2).xlsx,A6,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2006,2006,暦年,621.0
世帯　北塩原,A6_高齢者を含む世帯数_時系列 (2).xlsx,A6,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2007,2007,暦年,613.0
世帯　北塩原,A6_高齢者を含む世帯数_時系列 (2).xlsx,A6,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2008,2008,暦年,604.0
世帯　北塩原,A6_高齢者を含む世帯数_時系列 (2).xlsx,A6,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2009,2009,暦年,596.0
世帯　北塩原,A6_高齢者を含む世帯数_時系列 (2).xlsx,A6,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2010,2010,暦年,588.0
世帯　北塩原,A6_高齢者を含む世帯数_時系列 (2).xlsx,A6,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2011,2011,暦年,586.0
世帯　北塩原,A6_高齢者を含む世帯数_時系列 (2).xlsx,A6,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2012,2012,暦年,584.0
世帯　北塩原,A6_高齢者を含む世帯数_時系列 (2).xlsx,A6,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2013,2013,暦年,582.0
世帯　北塩原,A6_高齢者を含む世帯数_時系列 (2).xlsx,A6,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2014,2014,暦年,580.0
世帯　北塩原,A6_高齢者を含む世帯数_時系列 (2).xlsx,A6,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2015,2015,暦年,578.0
世帯　北塩原,A6_高齢者を含む世帯数_時系列 (2).xlsx,A6,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2016,2016,暦年,579.0
世帯　北塩原,A6_高齢者を含む世帯数_時系列 (2).xlsx,A6,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2017,2017,暦年,579.0
世帯　北塩原,A6_高齢者を含む世帯数_時系列 (2).xlsx,A6,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2018,2018,暦年,580.0
世帯　北塩原,A6_高齢者を含む世帯数_時系列 (2).xlsx,A6,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2019,2019,暦年,580.0
世帯　北塩原,A6_高齢者を含む世帯数_時系列 (2).xlsx,A6,時系列,高齢者を含む世帯数,（世帯）,北塩原村,2020,2020,暦年,581.0
世帯　北塩原,A6_高齢者を含む世帯数_時系列 (2).xlsx,A6,時系列,高齢者を含む世帯数,（世帯）,福島県,2000,2000,暦年,286134.0
世帯　北塩原,A6_高齢者を含む世帯数_時系列 (2).xlsx,A6,時系列,高齢者を含む世帯数,（世帯）,福島県,2001,2001,暦年,291036.0
世帯　北塩原,A6_高齢者を含む世帯数_時系列 (2).xlsx,A6,時系列,高齢者を含む世帯数,（世帯）,福島県,2002,2002,暦年,295937.0
世帯　北塩原,A6_高齢者を含む世帯数_時系列 (2).xlsx,A6,時系列,高齢者を含む世帯数,（世帯）,福島県,2003,2003,暦年,300839.0
