段階,所得区分,人数
第１０段階,４５０万円～４６０万円,4
第１０段階,４６０万円～４７０万円,3
第１０段階,４７０万円～４８０万円,1
第１０段階,４８０万円～４９０万円,2
第１０段階,４９０万円～５００万円,0
第１０段階,５００万円～５１０万円,2
第１０段階,５１０万円～５２０万円,2
第１０段階,５２０万円～５３０万円,1
第１１段階,５３０万円～５４０万円,0
第１１段階,５４０万円～５５０万円,1
第１１段階,５５０万円～５６０万円,1
第１１段階,５６０万円～５７０万円,0
第１１段階,５７０万円～５８０万円,1
第１１段階,５８０万円～５９０万円,1
第１１段階,５９０万円～６００万円,0
第１１段階,６００万円～６１０万円,0
第１１段階,６１０万円～６２０万円,0
第１２段階,６２０万円～６３０万円,0
第１２段階,６３０万円～６４０万円,0
第１２段階,６４０万円～６５０万円,0
第１２段階,６５０万円～６６０万円,0
第１２段階,６６０万円～６７０万円,0
第１２段階,６７０万円～６８０万円,0
第１２段階,６８０万円～６９０万円,1
第１２段階,６９０万円～７００万円,0
第１２段階,７００万円～７１０万円,0
第１２段階,７１０万円～７２０万円,0
第１３段階,７２０万円～７３０万円,0
第１３段階,７３０万円～７４０万円,1
第１３段階,７４０万円～７５０万円,0
第１３段階,７５０万円～７６０万円,0
第１３段階,７６０万円～７７０万円,2
第１３段階,７７０万円～７８０万円,1
第１３段階,７８０万円～７９０万円,0
第１３段階,７９０万円～８００万円,0
第１３段階,８００万円～８１０万円,0
第１３段階,８１０万円～８２０万円,0
第１３段階,８２０万円～８３０万円,2
第１３段階,８３０万円～８４０万円,0
第１３段階,８４０万円～８５０万円,0
第１３段階,８５０万円～８６０万円,0
第１３段階,８６０万円～８７０万円,0
第１３段階,８７０万円～８８０万円,0
第１３段階,８８０万円～８９０万円,0
第１３段階,８９０万円～９００万円,0
第１３段階,９００万円～９１０万円,0
第１３段階,９１０万円～９２０万円,0
第１３段階,９２０万円～９３０万円,0
第１３段階,９３０万円～９４０万円,0
第１３段階,９４０万円～９５０万円,0
第１３段階,９５０万円～９６０万円,0
第１３段階,９６０万円～９７０万円,0
第１３段階,９７０万円～９８０万円,0
第１３段階,９８０万円～９９０万円,0
第１３段階,９９０万円～１０００万円,0
第１３段階,１０００万円～１０１０万円,0
第１３段階,１０１０万円～１０２０万円,0
第１３段階,１０２０万円～１０３０万円,0
第１３段階,１０３０万円～１０４０万円,0
第１３段階,１０４０万円～１０５０万円,0
第１３段階,１０５０万円～１０６０万円,0
第１３段階,１０６０万円～１０７０万円,1
第１３段階,１０７０万円～１０８０万円,0
第１３段階,１０８０万円～１０９０万円,0
第１３段階,１０９０万円～１１００万円,0
第１３段階,１１００万円～１１１０万円,0
第１３段階,１１１０万円～１１２０万円,0
第１３段階,１１２０万円～１１３０万円,0
第１３段階,１１３０万円～１１４０万円,0
第１３段階,１１４０万円～１１５０万円,0
第１３段階,１１５０万円～１１６０万円,0
第１３段階,１１６０万円～１１７０万円,0
第１３段階,１１７０万円～１１８０万円,1
第１３段階,１１８０万円～１１９０万円,0
第１３段階,１１９０万円～１２００万円,0
第１３段階,１２００万円～,7
