⑧ 改定時期調査（2026-08-25 第2回）｜ 義務団体・主要市の未確認先を優先に確認,,,,,,,,,,
区分,都道府県,自治体,義務区分,調査結果,計画名,計画期間,R9満了判定,確認状況,根拠・確認メモ,次確認
終期確定,宮城県,石巻市,努力義務,確認済,石巻市環境基本計画（第2次）,令和8年度(2026)～令和17年度(2035),非該当（令和8年3月策定）,確認済,石巻市 環境基本計画（案）令和8年。令和8年度から10年間、目標年度は令和17年度,策定直後のため新規受託は難しい。進捗管理・アンケート二次分析など周辺支援の余地を確認する
終期確定,北海道,江別市,努力義務,確認済,えべつアジェンダ21―江別市環境管理計画―,平成7年度(1995)～計画期間30年（終期到来・後継未確認）,◇満了期・後継要確認,確認済（30年計画・後期推進計画は令和5年度終了）,江別市 環境管理計画。平成7年度に計画期間30年で策定。後期推進計画は平成26年度から令和5年度で終了済。後継計画の状況は未確認,30年計画の終期が到来し、後期推進計画も令和5年度で終了している。後継計画の有無と策定予定を早急に確認する
■ 計画名・策定年のみ判明（終期は未確認のまま。推測で埋めない）,,,,,,,,,,
一部確認,北海道,北海道,義務,一部確認,北海道環境基本計画［第3次計画］,令和3年度(2021),要確認,一部確認（策定年のみ）,北海道 環境生活部環境政策課。令和3年3月策定。複数回検索したが終期はHTML上で確認できず、計画本文の確認が必要,終期の確認と併せて、道の市町村支援・共同策定の枠組みを確認する。営業ルートの選択に直結する
一部確認,秋田県,秋田県,義務,一部確認,第3次秋田県環境基本計画,令和3年度(2021),要確認,一部確認（策定年のみ）,秋田県 環境基本計画。第3次を令和3年3月31日に策定。終期は未確認。なお第4次秋田県循環型社会形成推進基本計画は令和3年度～令和7年度,計画本文で終期を確認する。10年計画なら令和12年度満了
一部確認,福島県,福島県,義務,一部確認,福島県環境基本計画（第5次）,令和4年度(2022),要確認,一部確認（次数・前計画の終了年のみ）,福島県 環境基本計画（第5次）。第4次が令和3年度で終了し、令和3年11月の環境審議会答申を経て第5次を策定。終期は未確認,計画本文で計画期間を確認する
一部確認,北海道,函館市,義務,一部確認,函館市環境基本計画［第3次計画］,令和2年度(2020),要確認,一部確認（策定年のみ）,函館市／EPO北海道。令和2年3月策定。複数回検索したが終期はHTML上で確認できず、計画PDFの確認が必要。総合計画は2017～2026年,計画PDFの表紙・第1章で終期を最優先確認する。8年計画なら令和9年度満了で該当、10年なら令和11年度満了
一部確認,北海道,帯広市,努力義務,一部確認,第三期帯広市環境基本計画,令和2年度(2020),要確認,一部確認（策定年のみ）,帯広市 第三期環境基本計画（令和2年3月策定）。第二期は平成22年度～平成31年度。終期はPDF確認が必要,計画PDFで終期を確認する。10年計画なら令和11年度満了
一部確認,北海道,北広島市,努力義務,一部確認,第3次北広島市環境基本計画,令和3年度(2021),要確認,一部確認（策定年・一部改定確認）,北広島市 第3次環境基本計画。第2次が令和2年度で10年の期間を終了。令和5年2月のゼロカーボンシティ宣言を受け、令和5年4月に地球環境分野を一部改定,計画PDFで終期を確認する。地球環境分野の一部改定実績があるため、国の2035年度目標を踏まえた再度の部分改定の余地もある
一部確認,北海道,北見市,努力義務,一部確認,第2次北見市環境基本計画（改定版）,（未確認）,要確認,一部確認（計画掲載確認）,北見市 第2次環境基本計画（改定版）の掲載を確認。計画期間はHTML上で読めず、PDF確認が必要,計画PDFで計画期間を確認する
一部確認,宮城県,大崎市,努力義務,一部確認,第2次大崎市環境基本計画,令和2年度(2020),要確認,一部確認（策定年のみ）,大崎市 第2次環境基本計画（令和2年3月策定・10年後を見据えた計画）。アクションプランも別途あり。終期はPDF確認が必要,計画PDFで終期を確認する。10年計画なら令和11年度満了
一部確認,山形県,鶴岡市,努力義務,一部確認,第2次鶴岡市環境基本計画,（未確認）,要確認,一部確認（計画掲載確認）,鶴岡市 第2次環境基本計画の掲載を確認。計画期間はHTML上で読めず、PDF確認が必要,計画PDFで計画期間を確認する
■ 環境基本計画そのものを確認できなかった先（未策定の可能性を含む）,,,,,,,,,,
計画未確認,青森県,青森市,義務,公式検索確認,環境基本計画は確認できず（関連：地球温暖化対策実行計画）,（未確認）,要確認（環境基本計画の有無から）,公式検索確認,青森市サイト・検索では環境基本計画を確認できず。地球温暖化対策実行計画（区域施策編 令和7年3月改定／事務事業編 第4期）は確認できる。中核市のため区域施策編は策定義務,環境基本計画の有無そのものを確認する。未策定なら新規策定提案の対象。策定済みなら計画名が異なる可能性があるため計画一覧から探す
計画未確認,青森県,十和田市,努力義務,公式検索確認,環境基本計画は確認できず（関連：環境保全率先行動計画・地球温暖化対策実行計画）,（未確認）,要確認（環境基本計画の有無から）,公式検索確認,十和田市サイト・検索では環境基本計画を確認できず。環境保全率先行動計画『とわだエコ・オフィスプラン』第5次が令和4年4月から令和8年度、地球温暖化対策実行計画（区域施策編）は確認できる,環境保全率先行動計画が令和8年度で満了するため、その改定を入口に環境基本計画の有無を確認する
計画未確認,北海道,小樽市,努力義務,公式検索確認,（確認できず）,（未確認）,要確認,公式検索確認,小樽市サイト・検索では環境基本計画の計画期間を確認できず。『小樽市の環境』（年次報告）と緑の基本計画は確認できる,公式の計画一覧・生活環境部のページで環境基本計画の有無とPDFを継続確認する
調査方法: 自治体サイトへの直接アクセスができない環境のため、公開情報の検索で確認できた範囲に限る。計画期間がHTML上に出ておらずPDF本文にしか記載がない団体が多く、そこは『一部確認』として終期欄を空欄のままにしている。,,,,,,,,,,
この調査で令和9年度末満了の新規該当先は出なかった。一方、令和8年度末満了（一関市＝今年度が改定年度）と、満了済・満了期（福島市・江別市）という、R9満了より先に動く先が3件見つかった。,,,,,,,,,,
