⑨ PDF確認待ち一覧 ｜ 検索では確定できない18件。PDFの計画期間1行で片付く,,,,,,,
優先度,都道府県,自治体,義務区分,現在の状況,計画掲載ページ,PDFで見る場所,確定したら入れる列
中,北海道,池田町,努力義務,池田町環境基本計画（第3次改訂）令和8年度改訂・終期未確認,https://www.town.hokkaido-ikeda.lg.jp/kurashi/kankyo/430.html,表紙／第1章『計画の期間』。多くは「計画期間は、○年度から○年度までの○年間」の1行,02_営業先マスタ H列(開始)・I列(終期)・J列(判定)・K列(確認状況)
中,北海道,厚岸町,努力義務,第2期厚岸町豊かな環境を守り育てる基本計画・期間未確認,https://www.akkeshi-town.jp/gyosei/seisaku/kankyo/kankyo19/,表紙／第1章『計画の期間』。多くは「計画期間は、○年度から○年度までの○年間」の1行,02_営業先マスタ H列(開始)・I列(終期)・J列(判定)・K列(確認状況)
中,北海道,鶴居村,努力義務,第2次鶴居村環境基本計画・期間未確認,https://www.vill.tsurui.lg.jp/soshikikarasagasu/kikakuzaiseika/muranokeikaku/804.html,表紙／第1章『計画の期間』。多くは「計画期間は、○年度から○年度までの○年間」の1行,02_営業先マスタ H列(開始)・I列(終期)・J列(判定)・K列(確認状況)
低,北海道,弟子屈町,努力義務,外部DBで計画名のみ確認。公式ページ・期間とも未確認,https://www.town.teshikaga.hokkaido.jp/,表紙／第1章『計画の期間』。多くは「計画期間は、○年度から○年度までの○年間」の1行,02_営業先マスタ H列(開始)・I列(終期)・J列(判定)・K列(確認状況)
■ 手順（制限のない環境で実行する）,,,,,,,
手順1,,,,計画ページからPDFを一括取得する,python3 fetch_plan_pdfs.py --out plan_pdfs,―,―
手順2,,,,PDF→Word変換のうえ計画期間を一括抽出する,python3 batch_extract_plan_periods.py plan_pdfs,―,計画期間抽出結果.csv が出る
手順3,,,,1件だけ確認する場合,python3 extract_plan_period.py <PDFパス>,―,―
手順4,,,,抽出結果を02_営業先マスタへ転記し、終期がR9(2027)の先を01_R9満了候補へ移す,―,―,02_営業先マスタ H列(開始)・I列(終期)・J列(判定)・K列(確認状況)
■ 補足,,,,,,,
注意,,,,自動取得に失敗する団体は、掲載ページを開いてPDFを手で保存し、ファイル名の先頭を自治体名にして同じフォルダへ置けば手順2で処理できる,例: 函館市_環境基本計画.pdf,―,―
注意,,,,画像のみのスキャンPDFはOCRが必要。抽出ツールはその旨を表示して中断する,―,―,―
注意,,,,抽出はスコア付きで候補を出す。スコアが低い場合は根拠行を目視で確認してから確定させる,―,―,―
本シートを作った理由: 第2回調査（08シート）で公開情報の検索から確認できる先は確認しきった。残る18件は計画期間がPDF本文にしかなく、検索の要約に出てこないため検索経路では確定できない。加えて本作業環境は全ホストへのアウトバウンド接続が組織のegressポリシーで遮断されており（CONNECTに403）、PDFを取得できない。,,,,,,,
