② 営業先マスタ ｜ 北海道179市町村・東北6県227市町村・7道県（計413団体）,,,,,,,,,,,,,,
No,都道府県,自治体名,区分,地域,区域施策編 策定義務,現行 環境基本計画 名称,計画期間 開始年度,計画期間 終期年度,R9年度満了 判定,確認状況,出典・確認先,接触優先度 （仮置き）,次アクション,備考
18,北海道,松前町,町,渡島（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
19,北海道,福島町,町,渡島（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
20,北海道,知内町,町,渡島（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
21,北海道,木古内町,町,渡島（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
22,北海道,七飯町,町,渡島（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
23,北海道,鹿部町,町,渡島（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
24,北海道,森町,町,渡島（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
25,北海道,八雲町,町,渡島（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
26,北海道,長万部町,町,渡島（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
27,北海道,江差町,町,檜山（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
28,北海道,上ノ国町,町,檜山（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
29,北海道,厚沢部町,町,檜山（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
30,北海道,乙部町,町,檜山（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
31,北海道,奥尻町,町,檜山（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
32,北海道,今金町,町,檜山（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
33,北海道,せたな町,町,檜山（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
34,北海道,小樽市,市,後志（振興局）,努力義務,,,,要確認,公式検索確認,小樽市サイト・検索では環境基本計画の計画期間を確認できず。『小樽市の環境』（年次報告）と緑の基本計画は確認できる,中（未確認継続）,公式の計画一覧・生活環境部のページで環境基本計画の有無とPDFを継続確認する,
35,北海道,島牧村,村,後志（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
36,北海道,寿都町,町,後志（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
37,北海道,黒松内町,町,後志（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
38,北海道,蘭越町,町,後志（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
39,北海道,ニセコ町,町,後志（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
40,北海道,真狩村,村,後志（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
41,北海道,留寿都村,村,後志（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
42,北海道,喜茂別町,町,後志（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
43,北海道,京極町,町,後志（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
44,北海道,倶知安町,町,後志（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
45,北海道,共和町,町,後志（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
46,北海道,岩内町,町,後志（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
47,北海道,泊村,村,後志（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
48,北海道,神恵内村,村,後志（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
49,北海道,積丹町,町,後志（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
50,北海道,古平町,町,後志（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
51,北海道,仁木町,町,後志（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
52,北海道,余市町,町,後志（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
53,北海道,赤井川村,村,後志（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
54,北海道,夕張市,市,空知（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,中,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
55,北海道,岩見沢市,市,空知（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,中,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
56,北海道,美唄市,市,空知（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,中,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
57,北海道,芦別市,市,空知（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,中,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
58,北海道,赤平市,市,空知（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,中,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
59,北海道,三笠市,市,空知（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,中,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
60,北海道,滝川市,市,空知（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,中,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
61,北海道,砂川市,市,空知（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,中,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
62,北海道,歌志内市,市,空知（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,中,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
63,北海道,深川市,市,空知（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,中,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
64,北海道,南幌町,町,空知（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
65,北海道,奈井江町,町,空知（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
66,北海道,上砂川町,町,空知（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
67,北海道,由仁町,町,空知（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
68,北海道,長沼町,町,空知（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
69,北海道,栗山町,町,空知（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
70,北海道,月形町,町,空知（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
71,北海道,浦臼町,町,空知（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
72,北海道,新十津川町,町,空知（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
73,北海道,妹背牛町,町,空知（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
74,北海道,秩父別町,町,空知（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
75,北海道,雨竜町,町,空知（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
76,北海道,北竜町,町,空知（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
77,北海道,沼田町,町,空知（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
78,北海道,旭川市,市,上川（振興局）,義務,旭川市環境基本計画［第2次計画・改定版］,平成28年度(2016),令和9年度(2027),★該当,確認済,旭川市公式ページ https://www.city.asahikawa.hokkaido.jp/kurashi/271/307/3081/p002786.html。平成28年度～令和9年度。追加周期表では未確認扱いだったが、今回公式ページで確認済,最優先（R9満了）,令和9年度当初予算への計上を狙い、令和8年度の予算要求期（夏～秋）に接触する。改定必要度診断と概算見積を先に渡す,
79,北海道,士別市,市,上川（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,中,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
80,北海道,名寄市,市,上川（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,中,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
81,北海道,富良野市,市,上川（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,中,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
82,北海道,鷹栖町,町,上川（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
83,北海道,東神楽町,町,上川（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
84,北海道,当麻町,町,上川（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
85,北海道,比布町,町,上川（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
86,北海道,愛別町,町,上川（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
87,北海道,上川町,町,上川（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
88,北海道,東川町,町,上川（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
89,北海道,美瑛町,町,上川（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
90,北海道,上富良野町,町,上川（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
91,北海道,中富良野町,町,上川（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
92,北海道,南富良野町,町,上川（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
93,北海道,占冠村,村,上川（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
94,北海道,和寒町,町,上川（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
95,北海道,剣淵町,町,上川（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
96,北海道,下川町,町,上川（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
97,北海道,美深町,町,上川（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
98,北海道,音威子府村,村,上川（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
99,北海道,中川町,町,上川（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
100,北海道,幌加内町,町,上川（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
101,北海道,留萌市,市,留萌（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,中,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
102,北海道,増毛町,町,留萌（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
103,北海道,小平町,町,留萌（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
104,北海道,苫前町,町,留萌（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
105,北海道,羽幌町,町,留萌（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
106,北海道,初山別村,村,留萌（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
107,北海道,遠別町,町,留萌（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
108,北海道,天塩町,町,留萌（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
109,北海道,稚内市,市,宗谷（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,中,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
110,北海道,猿払村,村,宗谷（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
111,北海道,浜頓別町,町,宗谷（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
112,北海道,中頓別町,町,宗谷（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
113,北海道,枝幸町,町,宗谷（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
114,北海道,豊富町,町,宗谷（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
115,北海道,礼文町,町,宗谷（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
116,北海道,利尻町,町,宗谷（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
117,北海道,利尻富士町,町,宗谷（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
118,北海道,幌延町,町,宗谷（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,低（要件次第）,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
119,北海道,北見市,市,オホーツク（振興局）,努力義務,第2次北見市環境基本計画（改定版）,,,要確認,一部確認（計画掲載確認）,北見市 第2次環境基本計画（改定版）の掲載を確認。計画期間はHTML上で読めず、PDF確認が必要,中（終期要確認）,計画PDFで計画期間を確認する,
120,北海道,網走市,市,オホーツク（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,中,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
121,北海道,紋別市,市,オホーツク（振興局）,努力義務,,,,未確認,未確認,団体サイトの環境基本計画ページ,中,計画PDFの表紙・第1章で計画期間を確認し、終期欄を埋める,
122,北海道,美幌町,町,オホーツク（振興局）,努力義務,関連：地球温暖化対策実行計画等,令和7年度(2025)更新情報あり,環境基本計画の終期は未確認,未確認（関連計画のみ）,公式計画一覧確認,町公式の環境・産業分野一覧で関連計画を確認。環境基本計画の直接掲載は未確認 https://www.town.bihoro.hokkaido.jp/life/4/20/95/,中（温対連携）,温対計画PDFと環境基本計画の有無を継続確認,
123,北海道,津別町,町,オホーツク（振興局）,努力義務,津別町環境基本計画,平成26年度(2014),令和5年度(2023),要確認（満了済）,確認済（R5満了・後継未確認）,町公式ページでH26-R5の10年計画、R6検証・今後の課題協議を確認 https://www.town.tsubetsu.hokkaido.jp/soshiki/juminkikaku/14/859.html,優先（満了済・後継要確認）,次期計画の有無、R8補正・部分委託・随契支援の可能性を確認,
124,北海道,斜里町,町,オホーツク（振興局）,努力義務,第2期斜里町環境基本計画,令和6年度(2024),令和15年度(2033),非該当,確認済,町公式ページで第2期計画R6-R15を確認 https://www.town.shari.hokkaido.jp/soshikikarasagasu/kankyoka/keikakutou/2190.html,低（期間先）,次期改定はR14年度頃から予算化確認,
125,北海道,清里町,町,オホーツク（振興局）,努力義務,環境基本計画の直接掲載未確認,,,未確認,公式検索確認,公式情報検索では環境基本計画の計画期間を確認できず,低（未確認継続）,公式計画一覧・環境担当ページでPDFの有無を継続確認,
