#,令和7年度 公共下水道 使用料集計ブックの度数分布（個人情報を含まない集計値）
#,使用料（㎥）は集計ブックの水量欄。空欄は水量不詳（基本水量内・日割等）
#,"請求金額が空欄の行は「〜2,216」＝基本水量未満の日割（第18条第4項／漁集は第20条第4項）"
使用料（㎥）,請求金額,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月
120,22336,,,,,,,,1,,1,,
123,22996,,,,,,,,,,1,,1
118,23928,,,,,,,,,,,,1
129,24316,,,,1,,,,1,,,,
123,25028,,,,,,,,,,,1,
131,25196,,1,,1,,,,1,,,,
134,25416,,,,,,,,1,,1,,
135,25636,,,,,,1,,,,,,
136,25856,,,,1,,,,,,,,
138,26296,,1,,,,,,,,,,
,26431,,,,,,,,,,,1,
139,26516,,,,1,,,,,,,,
140,26736,,,,1,,2,,,,,,
131,26788,,,,1,,,,1,,,,
132,27008,,,,,,1,,,,,,
133,27228,,,,,,,1,,,,,
145,27836,,,,,,,,,,,,1
136,27888,,,,,,,,,1,,,
148,28496,,,,1,,,,,,,,
143,29428,,1,,,,,,,,,,
145,29868,,,,,1,,,,,,,
147,30308,,,1,,,,,,,,,
149,30748,1,,,,,,,,,,,
159,30916,,,,,,,,,,1,,
155,32068,,,,,,,,,,1,,
167,32676,,,,1,,,,,,,,
173,33996,,,,,,1,,,,,,
174,34216,,,,,,,,1,,,,
178,35096,,1,,,,,,,,,,
194,38616,,,,,,,,1,,,,1
205,41036,,,,,,,,,,1,,
426,42796,,,,1,,,,,,,,
219,44116,,1,,,,,,,,,,
442,44556,,,,,,,,,,,,1
227,45876,,1,,,,,,,,,,
229,48348,,,,,,1,,,,,,
,48516,,,,,,1,,,,,,
,49396,,,,,,1,,,,,,
,50936,,,,1,,,,,,,,
268,54896,,1,,,,,,,,,,
,56216,,,,,,,,1,,,,
,57756,,,,,,,,,,1,,
,59296,,,,,,,,,,,,1
,60616,,,,1,,,,,,,,
,61056,,,,,,,,,,1,,
,63036,,,,1,,,,1,,,,1
,63696,,,,,,1,,,,,,
425,89436,,1,,,,,,,,,,
436,93888,,,,,,,,,,,1,
,103868,,,,,1,,,,,,,
,108628,,,,,,,,,,1,,
509,109948,,,,,,,,,1,,,
,112588,,,,,,,,,,,,1
531,114788,,,,,,,1,,,,,
536,115888,,1,,,,,,,,,,
550,118968,1,,,,,,,,,,,
,121388,,,,,,,,,,,,1
571,123588,,,,,,,1,,,,,
583,126228,,,1,,,,,,,,,
600,129968,,,,,,,,,,,1,
608,131728,,,,,,,,,1,,,
627,135908,,,,1,,,,,,,,
628,136128,,,,,,,,1,,,,
668,137228,,,,,,1,,,,,,
649,140748,,1,,,,,,,,,,
653,141628,1,,,,,,,,,,,
659,142948,,,,1,,,,,,,,
707,153508,,,1,,,,,,,,,
745,161868,,,,,1,,,,,,,
749,162748,,,,,,,,1,,,,
,166488,,,,,,,,,,1,,
475,204936,,,,,,,,1,,1,,1
500,215936,,1,,1,,1,,,,,,
